tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
supernatural:perception	semantic	362	9	60	39	0	10	1	0.10		
supernatural:prognostication	semantic	174	9	60	11	0	10	2	0.20		
supernatural:communicating_with_the_invisible	semantic	138	9	60	8	0	10	0	0.00		
supernatural:miracle	semantic	111	9	35	9	0	10	2	0.20		
supernatural:magic	semantic	98	9	60	1	0	10	0	0.00		
supernatural:light_or_fire_as_a_sign_of_righteousness	semantic	40	7	52	2	0	10	0	0.00		
supernatural:reincarnation	semantic	32	6	60	0	0	10	0	0.00		
supernatural:pregnancy	semantic	31	5	26	0	0	10	0	0.00		
supernatural:contraction_of_the_road	semantic	13	5	13	0	0	10	0	0.00		
