local_id	name_heb	name_rom	wikidata_qid	lat	lon	occurrences	n_editions	editions	context	kind
ED::הר	הר					4	4	Derech-Haemuna; Maasiot-Pliot; Maasiot-veSihot-Zadikim; SipureiAnsheiShem	"איש אחד היה רשע גמור כל ימיו. וידע בעצמו כי תשובתו קשה להתקבל ופעם אחת שאל בדרך שחוק להר״מ די ליאון ז""ל אם יש תרופה למכתו. ואמר לו הגאון הנ""ל אין לו תרופה וכפרה כ״א שיקבל עליו דין מיתה על כפרת עונות… ⟦SEP⟧ שמעתי מהצדיק ר׳ שלמה סופר ז""ל מדאלינע פעם אחת היו כמה צדיקים יושבים מסובים על סעודת ר""ח ניסן בק׳ זידטשוב והר, שלמה ז""ל הי' ג""כ הוא מיסב עמהן ובעת הסעודה אמר הצדיק הרב ר' שמעון ז""ל מיעריסלאב הנה אנחנו אוכלים באנשים פשוט… ⟦SEP⟧ …ועל מה הוא נוסע אליהם וחולק כבוד גדול להם והשיב להם הנה תמצית הארץ הן המה השני דברים סגולים הנמצאים עליה והוא הר סיני אשר נתנה עליו התורה והר המודיה מרום מראשון מקום הקדשינו ובאמת קשה כשבא דוד הע״ה לבחור מקום למקדש משבן לא… ⟦SEP⟧ הברכה וזה הענין נלמד מהפסיק שלפנינו וכל העם רואים את הקולות ואת הלפידים ואת ההר עשן וירא העם וינועו ג״כ אבל ויעמדו מרחוק ומשה נגש אל הערפל אשר שם האלהים כי לא השגיח לקולות וברקים רק לפנימיו…"	edition_only
ED::מצרימה	מצרימה					4	2	Maasiot-veSihot-Zadikim; Tiferet-Hayyim	… הארץ ודקדק בתרגום אונקלוס והרגם ע״ז וכנוני ימא יסגון בנו בני אנשא על ארעא. ונראה כי בפ׳ מקץ בפ׳ וכל הארץ באו מצרימה מתרגום וכל דיירי ארעא ועל ועש הארץ ובנשו דיירי ארעא, וכלה הרעה את הארץ מתרגום ית עמא דארעא והרבה כזה, ולכן תר… ⟦SEP⟧ …הי׳ בבחי׳ ישראל רק במדרגה נמוכה בחי׳ יעקב ויאמר הנני הנני מקבל עלי עול גלות באהבה כרצון ה׳ ויאמר אל תירא מרדה מצרימה כי אהי׳ עמך שם ואנכי אלך גם עלה וזהו ויקם יעקב מב״ש כי עתה הלך בבחי׳ יעקב כפי אשר שמע גזירת השי״ת. אמנם בניו … ⟦SEP⟧ אלה שמות בנ״י הבאים מצרימה. פי' אותן הרוצין לזכות ולבוא לדרגא גבוה ועליונה הנקרא ישראל אזי צריכין להיות מצירים לגופם תמיד הן בתורה והן ב… ⟦SEP⟧ ואני כננס ע״ג הענק ארמז דברי ר זצללהאאמו״״ה בפסוקי התורה הדק היטב. בפ׳ וישב ויוסף הורד ממצרימה כו׳ ויהי ה׳ את יוסף ויהי איש מצליח. ויהי בבית אדוניו המצרי וירא אדוניו כי ה׳ אתי וכל אשר הוא עושה ה' מצליח בי…	edition_only
ED::וארשא	וארשא					4	4	MaasyiotMzadikeiYesodeiOlam; Maim-Rabim; Tiferet-Hayyim; Toldot-Haniflaot	"…ום ושב חזרה לביתו הראשונה ונעשה צדיק גמור עד יום מותו, אשרי אנוש השב להשי״ת בכל לבבו, (זה הוא העתק מפנקס קהל ווארשא:) ⟦SEP⟧ ווארשא שנת ברוך אתה בבאך לפ""ק בדפוס א. שריפטניססער באניפראטערסקע No 4 ⟦SEP⟧ …׳ שליט״א האבד״ק נתן נטע הכהןקאלביעל. נדפס בהוצאות הרבני הנגיד המפורסם ר׳ אברהם יוסף נ״י מו״ס מקליימאןקאלביעל ווארשא לפ""ק שנת תרס״ה ⟦SEP⟧ …ט ומחובר ע״י הרבני הרב מוה""ר ישראל משה ז״ל מלאדז והובא לבית הדפוס ע״י בנו מהו״ר יעקב אהרן בראמבערג מעיר לאדז ווארשא לפ""ק שנת תרנ""ט"	edition_only
ED::אבד	אבד					4	1	Shemen-Hatov	"ד) זקני ההפלאה הנ""ל הי' חתן הג״ר יואל היילפרין מלעשנוב בן הג״ר ישראל אבד״ק זאסלב בן הג״ר אליעזר ליפמאן אבד״ק טארניגראד, בן הג״ר יצחק אייזק היילפרין אבד״ק טיקטין הנזכר לקמן בשמן הטוב … ⟦SEP⟧ …ואהל מבריסק שר במדינת פולין מגזע מהר""ם פאדבה ושו״ת מהר""י מינץ ז״ל : הג״ר ישראל מזאסלב הנ״ל הי' חתן הג״ר יצחק באבד אבד״ק בראד בן הג״ר יששכר בעריש פרנס הכולל דד״א מקראקא בן הרבי ר' העשיל אבד״ק קראקא בן הג""ר יעקב אבד״ק לובלין …"	edition_only
ED::סעראצק	סעראצק					4	2	Derech-Haemuna; Shemen-Hatov	"…צמו לזקיני הגה""ק הרר״ש שהי' אז אבד״ק רוטשעוואהל אשר הי' הראשון להמשיך רבים אליו בפולין קטן עכ״ל. וש""ב הגאבד״ק סעראצק כ׳ וז״ל הג״מ קאפיל מיוזעפאן חתן הרה״ק ר׳ יוסילי יארטשובר מטאמשוב סיפר לי כי הגה״ק ר׳ לוי יצחק בעל קדושת לוי ב… ⟦SEP⟧ כתב בתולדות מהר""ם לובלין מהרב מסעראצק שנדפס בהגורן ת״א אשר זקיני הגאון מ׳ יצחק אייזיק היילפרין אבד״ק טיקטין הנ""ל היה אחי הגאון מ׳ כתריאל היילפרין [… ⟦SEP⟧ קע) עוד ממכתב הרב מסעראצק וז""ל אכתוב דברי היתול המפורסים. בוועד ד״א התראה זקיני הג״מ יצחק הלוי מהורחוב עם הג״מ יעקב אבד״ק ליסקא (מובא ב… ⟦SEP⟧ … שם אז התגלה עצמו אליו עכ״ל. כ״כ לי שארי הרב המאוה״ג רצ״י האבד״ק פלונסק שליט״א בשם מהו׳ הה״ג ר״י שליט״א אבד״ק סעראצק והם נכדי הר״ר העשיל הנ""ל."	edition_only
ED::ראטשעוואהל	ראטשעוואהל					4	1	Shemen-Hatov	…טא והי׳ שם פו״מ. לו היה בן. ר׳ יוזפא שמו. הוא היה עילוי מופלג ויקחהו לחתן גביר אחד. ר׳ הירש שמו שדר סמוך לעיר ראטשעוואהל ומחזיק שם ריחים ויתן לי נדוני׳ שלש מאות אדומים אשר בעת ההוא היה סכום נכבד. ר׳ יוזפא. אחר חתונתו יצק מים על יד… ⟦SEP⟧ …י הרר״ש בעירו נאלץ לעזוב את רוטשעוואהל אם גם היתה שם רבנות גדולה. כי ר״פ ישובים עד עיר ווארשא הי' שייכים לעיר ראטשעוואהל בימים ההם. בעזבו את העיר שמררה את חייו כ״כ. קלל בחמתו את העיר שתחרב. ואמנם כן היה כי נהר הוייכסיל עלה גדותיו … ⟦SEP⟧ …י״ע. מה עשה הפסיק מלאכול. והיה עצב מאוד. וחותנו שאל אותו ע״ז. השיב כי היה לו חלומות רעים. כי מוכרח הוא לנסוע לראטשעוואהל. וכה עברו כמה ימים עד אשר חותנו הפציר בו לנסוע. ושלחו עם עגלונו וסוסיו וכבואו אל הרר״ש שלח את העגלה לביתו והו…	edition_only
ED::פ״א	פ״א					4	2	Shemen-Hatov; shivheiZadikim	"…ומשם לעיר נ״ש. בתחלה צווה את תלמידו (הוא חו״ז הר׳ יוזפא) להעתיק דירתו אל העיר יוזעפאף על יד הוייכסיל. ובהיותו פ״א. אחרי ימים רבים. אצל רבו בנ״ש. נצטוה להעתיק דירתו לעיר קאזמיר. ואמר לו עתידות כי יצליח מאוד שמה. וכן עשה ושם … ⟦SEP⟧ ושמעתי מהר״ר אברהם בינש מלאדז ששמע מפ״ק הרה״ק מהר""י ז״ל מווארקי פ״א בתוך הסעודה הי׳ מוזגין לו כוס יין ביומא דפגר׳ וסיפר הרה״ק מווארקי שפ״א היה מעשה אצל הרה״ק מו״ה מאיר אבד״ק טיק… ⟦SEP⟧ פ״א עלה על דעת שני צעירים מאנשי שחץ. שבעיר לאדז שלא היו מאמינים בחסידים ורבותיהם. והיה נראה בעיניהם את כל ענין הנ… ⟦SEP⟧ פ״א בא לפניו רב אחד והיה מתנגד גדול לדעת החסידים. ושאל הרב שאלה אחת להה""ק ז""ל. למה כשנאספים איזה ת""ח מתנגדים ומסו…"	edition_only
ED::ע״ס	ע״ס					4	1	Shemen-Hatov	"לא) כתב הג״מ יקותיאל ארי׳ ק""ה מרישא בע״ס אוהל מועד. כאשר נסע הגה״ק רר״ש זצ״ל משינאווי לק׳ נ״ש. לקח עמו את תלמידו הה״ק ר׳ משה ליב מסאסיב זצ""ל. ויהי בהי… ⟦SEP⟧ שיטאווא בע״ס מנחת שבת וז״ל שמעתי מפי דודי אחי אמי הר״ר הירש מעיר סאסוב ששמע איש מפי איש מפי הגה״ק מ׳ אברהם חיים מזלאטשוב ב… ⟦SEP⟧ …ולעים בריאה בתשובות קכ״ו. ובמצבת קודש א״א א׳ סי׳ י׳ יסופר בשם הפנקס מהה""ק כי הג״מ אברהם שרענצילס האבד״ק לבוב בע״ס איתן האורחי שהיה אז אחד המיוחד מיקירי העדה תורה וגדולה בו נצמדים. תלמיד הסמ״ע עשה משתה לחתונת בנו וקרא למהר״ם… ⟦SEP⟧ ושמעתי מפ״ק הגה״צ מו״ה מאיר הורוויץ ז״ל האבד״ק דזיקוב. איך שפ״א בא זקינו הגה״ק מראפשיץ בע״ס זרע קודש לק״ק טארני ושלח אחרי החברה קדישא ושאל אותם על זקינו הר״ר שמעלקי הנ״ל אם הוא ספון וגנוז שם. או עקר די…"	edition_only
ED::מ	מ					4	3	Seva-Ratzon; Shemen-Hatov; Tiferet-Hayyim	"כשמוע הגאון דבריו נחלש דעתו ולא השיב לו מאומה. כי ידע כי רבו הק׳ רר״ש אוהב אותו מאוד. רק כאשר בא אל בית רבו מצאהו… ⟦SEP⟧ וישמח הה״ק מ כי חוזה נאמן הוא קולע אל השערה ולא יחטא : מעזיבוזבליל ש״ק בסעודה ישב הה״ק מ אצל השלחן עם כל בני ביתו … ⟦SEP⟧ וכי זה דבר קטן הוא הלא דבר גדול דבר והתחיל לומר ע״ז סתרי תורה וישבו יחד ג׳ ימים בהתדבקות המוחין ובהתפשטות הגשמיות ולא אכלו ולא שתו ג׳ ימים הנ""ל עד שלא יכול … ⟦SEP⟧ אינו יכול לעזור אלא למי שעוסק בתמידות בתורה ותפלה עוד מקודם בואו אל הצדיק. רק שיודע שיש חסרון בעבודתו ולזה בא להצדיק שישלים חסרונו א…"	edition_only
ED::עכו״ם	עכו״ם					4	2	Shemen-Hatov; Shlosha-edrei-zon	"… ז""ל ושאל ההפלאה לאחיו הרר״ש כדת מה לעשות והענין מזה. והשיב הרר״ש כי בודאי מונח שם בקברו צלם שתו״ע. שנפל שמה מעכו״ם החופר ולזאת אין להנפטר מנוחה. והראה ע״ז מקור מירושלמי. ופינו אותו מקברו ומצאו כד״ק : ⟦SEP⟧ …י הם אומרים גם על אביך שיכול. והי׳ לו חולשת דעת. ולמחרתו הלך זקיני הג״מ הרצ""ה מברלין הנ״ל עם האורחים ופגע בהם עכו״ם ושאל היכן מנויים לקנות קדירות. והראהו הגמהרצ""ה לבית דודו ⟦SEP⟧ …ת והב בסופה רק מתוך שתיית היין. ומעתה מובן מה שאסרו חז״ל יינם של עכו""ם מטעם חתנות. ולא אמרי הטעם דאסור ללמוד לעכו״ם תורה ג״כ משום חתנות. אכן אנו רואין שע״י לימוד נעשים שונאים זל״ז. ועי׳ היין בא התקרבות ואחדות ע״כ סיפר הרר״י מ… ⟦SEP⟧ …ערלית עבור בניה הקטנים וגרם עבור זה שנענשה ואמר רבי' באשר יצוה לשמש לכרוז בביהכ״נ שלא יפרצו גדר לקנות חמאה מן עכו״ם ואמרתי לו כי תמיה לי תמי׳ גדולה עבור גדר זה לעונש ענוש גדול כזה. ואמר כי כן כתוב בתורה הוא ישופך ראש ואתה כו׳…"	edition_only
ED::פראסקרוב	פראסקרוב					4	1	Shemen-Hatov	"צו) כתב ש""ב בעל מנחת שבת הנ""ל וז״ל שמעתי מאנשי אמת מספרים אשר הה״ק בעל קדושת לוי הי' פ״א בעיר פראסקרוב ואמר לאנשי העיר שהוא רואה אור גדול על הבית עלמין שבעיר הנ״ל. ושאל אותם אם מונח שם על הבית עלמין איזה צדיק. וח…"	edition_only
ED::דפה	דפה					4	1	Shemen-Hatov	"…א נשרפו יותר מב׳ או ג׳ בתים וכן סיפר לי הרה״ח מ׳ מאיר רוקח מפה״ק אשר בחורף תר״מ לפ״ק נפלה דליקה בשכונת החניות דפה״ק וחזר למצוא אנשים שילכו להודיע לאותו צדיק. ולא מצא כי כל אחד הי׳ ירא לנפשו לזוז מביתו ⟦SEP⟧ … תקי״ד. ובשנת תקי״ד נתקבל לכאן הרב הה״ג מו״ה ישראל ז״ל שנעשה חתן הרב הגאון הנ""ל אחר סילוקו ונשתמש בכתר הרבנות דפה עד שנת תקכ״ו לפ""ק. בשנת תקכ״ז תקכ״ח הי׳ פה איזה איש אשר לא ניתן להזכר שמו כאן. בשנת תקכ״ט נתקבל פה לרב ואב״ד … ⟦SEP⟧ …הרב הגאון מו״ה שלמה דוב שהי׳ אבד״ק גלוגא רבתי ונתבקש ביש״מ בשנת תקס״ט לפ״ק. כ״ז ועתק אות באות מפנקס הקהל הישן דפה : ⟦SEP⟧ …ם שנגנז ארון הקודש ועלה לשמים. מורינו מו״ה מאיר הלוי איש הורוויץ איש חסיד ועניו נחלתו היא לבניו ה״ה אב״ד ור״מ דפה ק״ק טיקטין תורתו יעמוד לנו ולזרעינו עד עולם העתק ממצבת הארז איש אלהי קדוש יאמר לו כל הכתוב"	edition_only
ED::גלוגא	גלוגא					4	1	Shemen-Hatov	"נתקבל לפה הרב המאוה״ג מו״ה משה בהרב הגאון מו״ה שלמה דוב שהי׳ אבד״ק גלוגא רבתי ונתבקש ביש״מ בשנת תקס״ט לפ״ק. כ״ז ועתק אות באות מפנקס הקהל הישן דפה : ⟦SEP⟧ …״ד ור״מ דק""ק אה״ו נ״י ע״ה פ״ה מוהר״ר יצחק איצק הלוי הורוויץ זצ""ל בן הגאון המפורסם מוהר״ר יוקל זלה""ה אב""ד דק״ק גלוגא נפטר אור ליום ג׳ ונקבר יום ג׳ ו׳ אייר תקכ״ז לפ""ק תנצב""ה"" : ⟦SEP⟧ … יעקב יוקל הלוי איש הורוויץ (אחי זקיני הגאבד״ק טשארטקוב) הי' מהרבנים המפורסמים בצדקתם ובתמימותם. ובשמעו שהעיר גלוגא רבתי במדינת שלעזיען הנה גלמודה מרב. כתת רגליו לשם שיקבלוהו לרב בחזקת אבותיו הג״מ נפתלי כ״ץ אבד״ק גלוגא. אולם … ⟦SEP⟧ …מזונות. והיא מצילתו מידי עבירה. והוא נקנה להעיר או בכסף שנותן לקופת הקהל. או שמעצמם כותבים לו שטר רבנות. ובפה גלוגא שאינכם רוצים לחת לי שטר רבנות מעצמכם. וכסף אין עמדי לכן מוכרח הייתי לבוא הנה בעצמי. קצין א׳ בשמעו דבריו אלה. …"	edition_only
ED::מטיקטין	מטיקטין					4	1	Shemen-Hatov	"קכב) וכתב ש""ב הגאבד״ק סעראצק שי׳ וז״ל. זקיני הגה״ק ר' מאירל מטיקטין דרכו בקודש להקיף בכל שבת הביהכנ״ס ז׳ פעמים ואחר התפלה פתח עזרת נשים ובירכן : ⟦SEP⟧ …שהרב מזאבלידאווי מרא דאתרא לכך יראה הוא מקודם והרב מזאבלידאווי השיב שאין דרך ארץ לפתוח ראשון לפני הגאון הקדוש מטיקטין. ובין כך וכך היתה העגונה עני' סוערה. זה אומר חברי קודם. וזה אומר רבי קודם. והרב מזאבלידאווי לא רצה בשום אופן … ⟦SEP⟧ קמא) ובספר זכר החיים להגה""ק ר' חיים כהן ראפפורט אבד״ק לבוב דרוש כ״ו מובא הספד על זקיני הגה""ק מהר""ם מטיקטין. וכ׳ שם בהמשך דבריו הלא תדעו כי שר וגדול נפל בישראל ה״ה כבוד הגאון הגדול המפורסם מו״ה מאיר הלוי זללה״ה שהורה … ⟦SEP⟧ קנד) זקיני הגה""ק מוהר""ר מאיר הלוי מטיקטין היה חתן הקצין המפורסם מו״ה מנחם מאניס הכהן [הובא בהקדמת ס׳ פנים יפות] בן הרה״ג מ׳ ישעיה כ״ץ הדיין המצויין ב״ד…"	edition_only
ED::אלטונא	אלטונא					4	2	Shemen-Hatov; shivheiZadikim	"…שטרדם. וחתנו הג״מ.extra period יעקבקא לנדא מבראד בן הג׳ בעל נודע ביהודה. ובאו על ש״ק לבית הגה""ק מ׳ יעב״ץ ז״ל באלטונא. ושאל את ר׳ יעקבקא אם חותנך יכול ללמוד גפ״ת. השיבו „העולם אומרים שיכול. והשיבו הג׳ יעב״ץ. מהעולם ראי' ? הרי ה… ⟦SEP⟧ קסח) עוד כ׳ שם שיש לו בקבלה מראשי העיר אלטונא שבהיות הג׳ מהר""י הלוי סמוך לפטירתו הי׳ שם שריפה גדולה. ותשקע האש בתפלתו ובירך העיר שלא תהי׳ עוד למאכולת אש. ו… ⟦SEP⟧ פו״מ דק״ק אלטונא יצ״ו התרו את האלופים דק״ק האמבורג וואנדסבעק שידין עמהם בזבל״א ובזבל״א ופרנסי דוואנדסבעק רצו לציית ד״ת רק האלו… ⟦SEP⟧ …דות ושאר ספרים שנתחברו ע״ז. אירע מעשה נורא ומופת נפלא מהגאון הק׳ ר""י הנ""ל שהיה אז אב""ד ורב בק""ק אה""ו והיה דר באלטונא. פ""א היה הולך הגה""ק הנ""ל לבית הכנסת להתפלל תפלת מנחה והיה עובר דרך מקום צר אחרי הרחוב פתאום נשא עיניו וראה אי…"	edition_only
ED::יהודא	יהודא					4	3	Derech-Haemuna; Peulat-Hatzadikim; SipureiAnsheiShem	לו זכה את זה בדין והשיב הנודע ביהודא אני אפסוק כדת תורת אמת ולקח השר קנה שריפה ואמר אני מורה בך את זה אם לא תשמע לי וגלו הרב את לבו ואמר ירה בי וא… ⟦SEP⟧ מהעיר ביום ג׳ י״ב כסליו שפ״ז וישמח הר ציון ויגילו בני יהודא והחתימה במכתב זה התמה, שם טוב לוזייא״ו, ישי מיניין, שמואל ן׳ סיד, הצעיר ישראל בנימין, ישראל בכהר' עזרי׳ זאבי,… ⟦SEP⟧ מענין ס׳ נודע ביהודא ⟦SEP⟧ הוא הגאון האמיתי חסיד ועניו נודע ביהודא ובישראל גדול שמו אבד״ק וק״ק פפד״מליסא והוא עמד לימין צדקו של הגאון ר״ד יונתן זצ״ל ובמקום גדולתו שמה שבנה עגונ…	edition_only
ED::עפס	עפס					4	1	shivheiZadikim	"סיפר הרה״ג החסיד המפורסם מוה׳ יחיאל מיכל נ""י אבד""ק שעפס שהי' מלפנים רב בעיר אסטראלענקי. והי׳ שם איש חסיד אחד ר׳ חיים ליב שהי׳ בילדותו משמש ⟦SEP⟧ …ביו הה״ג הנ""ל הי' מתנגד גדול על חסידים. ואשתייע מילתא שהי' איש אחד מלייפנא אצל הרה״ק מוה׳ מאירל ז""ל הרב דק""ק שעפס הסמוכה לעיר לייפנא וכשהלך האיש ממנו צוה אותו הה״ק ר״מ משעפס שידרוש בשלום הרב דק""ק לייפנא עבורו ויאמר לו בזה""ל… ⟦SEP⟧ סיפור נאה מהה״ק מברדיטשוב ז""ל בהיותו בעיר שעפס אצל הה״ק ר״מ הנ״ל. ⟦SEP⟧ …שבחי הצדיק הנשגב הזה ועניניו. מאשר סיפרו אנשים שבמחזה אור פניו הכירוהו. ואמרו שהיה רב בק׳ ביזיון הסמוכה לעיר שעפס. וסבת הדבר שנחבר בעיר שעפס הוא מחמת צוואתו. שלפני זמן גדול קודם פטירתו בעברו לפני הב""ע דק׳ שעפס. אמר לפני האנ…"	edition_only
ED::נהר סמבטיון	נהר סמבטיון					4	1	Derech-Haemuna	ג) העתקה מאגרת אשר בא מעבר לנהר סמבטיון מבני משה רבינו ע״ה לעיר הק' תובבירושלים״א הנדפסת בס׳ מקוה ישראל ומקוימת מחכמי ירושלים ובעדות הג׳ הג' חיד״א זל… ⟦SEP⟧ …מו ויבנה את בית עולמו ויקבץ את עמו מארבע כנפות הארץ אא״א סס״ס. זאת מאתנו אחיכם בני ישראל בני משרע״ה אשר מעבר לנהר סמבטיון להשמיע למעלת קהלתכם שלומינו ונפשנו מאד נענה מתאבלים ומתאוננים כיענים במדבר רק על חורבן בית קדשנו ותפארתנו ועל…	edition_only
ED::ראדאמסק	ראדאמסק					4	3	Derech-Haemuna; Maim-Rabim; Toldot-Haniflaot	"ובס׳ תפ״ש על מועדים (ברמזי פורים) להה״ק מראדאמסק וז״ל וכדרך הזה שמענו מפה קודש הרב הוותיק אוהב ישראל ר׳ דוד מלעלוב זלה״ה שאמר בזה״ל איך תאמרו עלי שאני צדיק הד… ⟦SEP⟧ ובהקדמת ס׳ שער הגלגולים החדש וז״ל וכן שמעתי מא״א הה״ק ר״ש מראדאמסק זל""ה ששמע מהה״ק ר׳ דוד מלעלוב זל""ה בעת שהרב בעל הב״ח זל""ה נפטר לעולמו כיבדו אותו ב״ד של מעלה בדרשה והשיב שיאמ… ⟦SEP⟧ ובס׳ תפארת שלמה מהה״ק מראדאמסק בפ׳ דברי׳ וז״ל כמו שנודע המעשה מהבעש״ט זי״ שפ״א הפציר מאוד באחד מגדולי תלמידיו הוא הצה״ק ר' עמיכל ז״ל אשר בני… ⟦SEP⟧ הה״מ המפורסם מאד ר׳ שלמה זצ״ל מראדאמסק מספרים ממנו שאמר שיהיה עת שיהיה חשיבות גדול למי שהכיר אותו צדיק מרן זצ״ל,"	edition_only
ED::נשחיז	נשחיז					4	1	Derech-Haemuna	ז) סיפר מרן מנשחיז שהרהצה״ק ר׳ גרשון קיטיוור ראה את הרה״צ בעל אור החיים וסיפר לו מגיסו הבעש״ט ז״ל והשיבו ידעתי אותו וישראל שמו ג… ⟦SEP⟧ ובס׳ א״ק (אות מ׳) וז״ל שמעתי בשם מורי ז״ל שספר משם הצדיק מנשחיז שאותו האגרת ששלח ר׳ ישראל בעש״ט לאה״ק לגיסו הרב ר׳ גרשון ז״ל מקיטוב והוא נדפס בס׳ פורת יוסף אותו האגרת היה חי… ⟦SEP⟧ ובס׳ ז״ט וז״ל סיפר הה״ק מהר״י זצ״ל מנשחיז שהיה בבארדיטשוב איש הגון ושמו ר׳ ליבר ז״ל פ״א בלילה בחורף אחר היריד בא איש אחד לביתו בראותו שעוד נר מאיר בבית…	edition_only
ED::פשיסחא	פשיסחא					4	1	Likutim-Hadashim	"שמעתי מעשה מהיהודי זצ""ל מפשיסחא שהיה אצל אבי זקני זצ״ל ⟦SEP⟧ …משך הנ״ל ואמי זקנתי אמרה לאבי זקני הלא עוד תהא עני ? ואמר לה אבי זקני אין זה דאגה שלך ונסע היהודי זצ""ל לעירו לפשיסחא לביתו. ואמר לו היהודי זצ״ל לאבי זקני איך היא הפרנסה שלך ושתק אבי זקני ואמר לו היהודי זצ״ל שיקנה עורות של עגלי… ⟦SEP⟧ שמעתי שהיה היהודי ז""ל אצל הרבי זצ""ל בלובלין ואשתו של היהודי היתה בפשיסחא ובאה אל הרה״ק ר׳ שמחה זצ״ל וא׳ שיכתוב אגרת לבעלה היהודי בונםאיך שהולכים ממנה דמים הרבה מן הווסת ואין לה במה ל… ⟦SEP⟧ …בשנים וסיפרו לו בונםהאנשים איך שהרב אינו מניח שום אדם לכנוס אצלו מטעם הנ״ל והלך אצלו ונתן לו שלום ואמר הרה״ק מפשיסחא אל הרה״ק הנ״ל כתיב ותגזר אומר ויקום לך שהצדיק גוזר והקב״ה מקיים וכתיב מי יאמר לך מה תעשה וסותרין זה את זה הפש…"	edition_only
ED:::		:				4	1	Maim-Rabim	"(י) בן דוד ממע״ה זי״ע ועכי״א : אשת הה״ק ר׳ יצחק שלמה (אות א׳) הרבנית הצ׳ מ׳ אסתר עטיל תנצב״ה : (יא) בת הה״ק ר׳ משה אליקום בריעה : (יב) בהה״ק… ⟦SEP⟧ אשת רבינו ר׳ אברהם המלאך (אות יח) הרבנית הצ׳ תנצב""ה : (כג) בת הג״מ משולם פייבוש הלוי מהורוויטץקרעמניץ בעהמח״ס משנת חכמים על משניות אשת הה״ק ר׳ משה (אות ג׳) מזיווהע… ⟦SEP⟧ (יז) בנו הי׳ הרה״ק ר׳ שלום שכנא אבי רבינו הק׳ א״א ר׳ ישראל מ : רוזין ⟦SEP⟧ (לג) ב״ר נתן : רבינו אלעזר היה חתן (לד) רבינו אליקים זצ״ל : (לה) בן ר׳ יוסף מ : מאגענציאאשת רבינו הקדוש ר״ר אלימלך (אות טו) …"	edition_only
ED::ז״ל	ז״ל					4	2	Peulat-Hatzadikim; Toldot-Haniflaot	"מהה""ק ר׳ אהרן משה מ ז״ל בראד ⟦SEP⟧ והה״ק ר׳ פנחס מ ז״ל אמר מי שלומד קארעץחומש עם פירש״י מסוגל לאמונה : ⟦SEP⟧ הה""ק ר׳ צבי הירש מ ז״ל זידיטשוב ⟦SEP⟧ יעקלי ז""ל והיה אז אצל מרן ז״ל ההק׳ הצדיק ר׳ יוסלי מעיר חדש ז״ל והרב החסיד ר׳ שלום מ ז״ל, והייתי עובר אז דרך הבית של אפטאמרן ז""ל, והיה יוצא …"	edition_only
ED::לאנצוט	לאנצוט					4	1	Peulat-Hatzadikim	"מהגה""ק ר׳ ארי׳ ליבוש זצ""ל אבד״ק לאנצוט וקעשינוב. ⟦SEP⟧ …ל ראשון ותמה המגיד ע״ז אז פתח המגיד ואמר מבטחני בו שיגדל בתורה ויפיץ ענן אורו ע״פ תבל. ואח״כ נתמנה לראב״ד בק׳ לאנצוט ואח״כ בקשי קהל עדת קעשינוב מהה״ק מאפטא ז״ל שיבחר לחם רב גדול לישב בראש אז בחר הה״ק בעבורם את הה״ק מהרא""ל אבד״… ⟦SEP⟧ …א בפני כל העם הראיתם את הרב אשר בחרתי בעבורכם תאמינו אשר חדרי תורה מארבע מאות שגה הי' גגון ונעלם עד שבא הה״ק מלאנצוט בעולם ונמסרו לו רזי התורה ושוב בפעם אחד אמר הה״ק מאפטא עליו הידעתם מקור מחצבתו של הה״צ מהרא""ל הקב״ה לקח דגבי …"	edition_only
ED::רימנאב	רימנאב					4	1	Tiferet-Hayyim	"… ממאגליניצא (הי' אצל רבינו הקדוש הנ""ל) עפ״י דבר קדשו של הרה״ק מאורן של מוהר״י מרוזין זלה""ה שאמר לו ישראלשיסע לרימנאב ויסתכל היטב בתואר פנים של הרה״ק מוהר""צ הכהן וידע כי ראה פני השכינה והרה״ק הנ""ל שמע לדבריו ושלח תיכף מכתב לחתנ… ⟦SEP⟧ …השבת והבן ועי׳ להלן הדיבור שאמר להרה״ק מסטרעליסק זלה""ה וז״ל שם בס״ס מעין עוה״ב יום שבת מנוחה והקשה הרה״ק ר""צ מרימנאב וצלה""ה הלא המה שני הפכים כי עוה״ב אין בו לא אכילה ולא שתי' אמנם ש״ק מצוה להתענג בו בתענוג אכול ושתה ואמר כי ה… ⟦SEP⟧ …סלחתי כדבריך והוסיף עוד לדבר רבון כ""ע אולי תאמר כי מסבת חסרון הצדיקים עלי התבל חמנע לומר סלחתי כדבריך הלא יש ברימנאב הרב ר׳ מענדילי מפריסטיג אשר יעמוד כנגד כל צדיקי הדור ואפשר"	edition_only
