local_id	kind	name_heb	name_rom	wikidata_qid	occurrences	n_editions	match_status	grade	confidence	sound_match	flags	kima_id	kima_name_rom	kima_name_heb	distance_km	candidates	kima_url	context_sample	decision	chosen_kima_id	reviewer_notes
H-LOC_214	authority	אקופ	Okopy	Q2605020	7	2	fuzzy	C_review	1.0							78338		"… בהאי עלמא ועשתה כן והחזירה את היופע. והוא עשה שאלת חלום למי למסור הכתבים שלו והשיבו למסור לר׳ ישראל ב״א מעיר אקופ. וקודם מותו צוה לבנו יחידו הנה יש ת""י כתבים שהם רזין דאורייתא אבל אינך ראוי להם כ""א תחקור אחר עיר א׳ ושמה אקו… ⟦SEP⟧ …וחק בהאי עלמ' ועשתה כן והחזירה את היופע והוא עשה שאלת חלום למי למס"			
ED::פילינאה	edition_only	פילינאה			7	1	no_match	C_review	0.0									"…ה אחד מהם פ״א מלאך. אבל אני ראיתי מהות המלאך כי פ""א נסעת עם הרב הק' ר׳ פנחס זצלה""ה על שבת אל הרב הק׳ ר׳ יוסף מפילינאה. והרב הק' מפילינאה. מאוד אוהב אותי. ומחמת דרך ארץ שאני הי׳ רך בשנים. והוא הי׳ זקן גדול לא רציתי לישב לפניו. ו… ⟦SEP⟧ אגרת הקודש ששלח הבעש״ט הקודש נבג״מ אל הרב הקדוש המפורסם מוה""ר יע"			
ED::זי	edition_only	זי			7	4	no_match	C_review	0.0									"מעשה נורא מאוד מדוע נקרא רבינו אורי הנ""ל זי״ע בשם שרף כמפורסם ⟦SEP⟧ …נו עקיבא איגר בעלותו על כס הרבנות בעיר פרידלאנד. ג) ההתגלות הגאון הקדוש והטהור המקובל פועל ישועות רבינו אליהו זי״ע מגרידיטץ אשר היה נסתר כל ימיו. ) מגאון הגאונים רבן של ישראל רבי רב העשיל מקראקא זצל״ה ע״ד לוקח שוחד. ה) מרב… ⟦SEP⟧ ש"			
ED::מעזיריטש	edition_only	מעזיריטש			7	3	no_match	C_review	0.0									"…זקנו ישראל מטשערקאסהרה״ק ר׳ נחום מ זצוק""ל נסע פ״א עם טשערנאבילשני תלמידים שלו לרבו הקדוש המגיד הגדול מ זצוק""ל מעזיריטשובבואם לקבל שלום ישב אז המגיד עם בנו הרה״ק ר׳ זצוק""ל ואחר קבלת שלום הלך הרה״ק ר׳ אברהם המלאך לאכסניא נחוםשלו ו… ⟦SEP⟧ …הרה״ק ר׳ אדיל הנ״ל נכד הברוך ממעזבוז כי האחים הקדושים הרה״ק ר'"			
ED::מסקווירא	edition_only	מסקווירא			7	2	fuzzy	C_review	0.833							1642		"וכעין מעשה זאת שמעתי מאדמו״ר הרה״ק מ ר׳ בן זצוק""ל שסיפר כי ידוע כי בעיר יצחק מסקווירא קראקאהולך שם הנהר הגדול הנקרא ובימי המקובל הגדול ווייסילהקדוש ר׳ זצוק""ל הנודע בספרו הקדוש הצורף אליהו צורףאשר… ⟦SEP⟧ עוד סיפר אדמו״ר הנ""ל כי בעת שהיה המחלוקת מסקוויראהגדולה על הרה״ק ר׳ הנ""ל הלך הרה״ק ר' ברוך על ציו"			
ED::אבד״ק	edition_only	אבד״ק			7	2	no_match	C_review	0.0									"…בס׳ עטרת צבי עה״ת (ד׳ שנת תקי״ט) כי חיתןחותן הרר״ש מנ""ש הי׳ הרב מו״ר יהושע פו״מ ברישא בהרב מ׳ מרדכי ראש מדינה אבד״ק טיסמניץ בהג״ר משה אבד״ק טורבין בהג״ר שמואל אבד״ק פודהייץ נכד הג״ר שכנא אבד״ק ווין נכד הרבי ר׳ שכנא אבד״ק לובל… ⟦SEP⟧ מקראקא הנ״ל בן המג״ש זי״ע : והר״ר יהושיע מרישא הנ""ל הי׳ חתן הג״ר ז"			
ED::יהודה	edition_only	יהודה			7	3	name_exact	A_autolink	0.95	True		5350	Judea (Region) (Israel)	יהודה (אזור) (ישראל)		5350	https://data.geo-kima.org/Places/Details/5350	…ו הקדוש הגאון רבי ר׳ שמעלקא זלה״ה בניקלשפורג הי' לו ויכוח עם כומר א׳ משם ששאלו לאמר כתיב בתורתכם לא יסור שבט מיהודה וכו׳ ויענהו תשובה נצחת וכו' ע״ש). ח) הגה״ק מ׳ אייזיק אבד״ק קאלוב (בשה״ג הח׳ מ״א. ועיין אודותיו בתולדות רבינו … ⟦SEP⟧ פה) כתב בהק' ס׳ נפש דוד כי כאשר חלק הג׳ בעל נודע ביהודה על ספר תול			
H-LOC_271	authority		Novokostyantyniv		6	2	fuzzy	C_review	0.711							19134		… להיות חתנו לוקח בתו אזי יתחייבו עבורו לנדן בתו העלמה שני אלפים אדומים לעומת ארבעה אלפים מצד החתן אך יסעו גם לקאסניטין חדש וגם שמה ימצאו עילוי ואחרי אשר יבחנו אותו היטב וימצא חן בעיניהם יתחייבו עבורו סך אלף אדומים נגד שני אלפים מצד … ⟦SEP⟧ … להיות חתנו לוקח בתו אזי יתחייבו עבורו לנדן בתו העלמה שני 			
ED::קאלביעל	edition_only	קאלביעל			6	3	no_match	C_review	0.0									"…ד ואחד מאלו הסיפורים. ונלוה לזה דברי תורה מתוקים ויקרים מאאמו״ר הרה״ג חסיד וקדוש מוהר""ר מרדכי זאב זצ״ל האבד״ק קאלביעל בעהמ״ח קול הרמ״ז, ויהיו נקראים בשם לקוטי הרמ״ז. אשר קבצתי בעזהי״ת אנכי המאסף הצעיר לב""א שלמה גבריאל בן לאאמו״… ⟦SEP⟧ …שארי דו״ז ה״ה הרבני הנגיד החסיד הנדיב רודף צדקה וחסד ימצא חיים "			
ED::ווינאווי	edition_only	ווינאווי			6	1	fuzzy	C_review	0.6							945		"…ו שילך להרב הק׳ ר׳ יעקב יצחק הנ""ל ולאמר לו שנגזר עליו מן השמים שיעזוב את דירתו מלאנצהוט ויקבע מקום אהלו בעיר „ווינאווי"" ולמחרת בבוקר השכים האיש הנ""ל בזריזות והלך להרבי ואמר לו בפקודת המלאך המגיד דברים הנ""ל. אולם הרבי לא פנה ולא …"			
