full_tag	top_tag	sub_tag	status	detectability	n_stories	proposed_canonical
practice:drinking_alcohol	practice	drinking_alcohol	ok		14	
characters-and-roles:preacher	characters-and-roles	preacher	ok		13	
folkloristics:story_type_advent	folkloristics	story_type_advent	ok		13	
practice:travel_to_other_tsaddik	practice	travel_to_other_tsaddik	ok		13	
practice:use_of_holy_names	practice	use_of_holy_names	ok		13	
social-relations:converts_and_conversion	social-relations	converts_and_conversion	ok		13	social:converts_and_conversion
supernatural:contraction_of_the_road	supernatural	contraction_of_the_road	ok		13	
social-relations:with_sinners	social-relations	with_sinners	ok		12	social:relations_with_sinners
kabbalah:kabbalistic_terms_kavvanot	kabbalah	kabbalistic_terms_kavvanot	ok		11	
practice:redemption_of_captives	practice	redemption_of_captives	ok		11	
custom:pilgrimage_to_the_graves_of_tsaddikim	custom	pilgrimage_to_the_graves_of_tsaddikim	ok		10	practice:pilgrimage_to_the_graves_of_tsaddikim
ethics-and-emotions:awe	ethics-and-emotions	awe	ok		10	
practice:coping_with_alien_thoughts	practice	coping_with_alien_thoughts	ok		10	
practice:pilgrimage_to_the_graves_of_tsaddikim	practice	pilgrimage_to_the_graves_of_tsaddikim	ok		10	
practice:sexual_abstinence	practice	sexual_abstinence	ok		10	
supernatural:mystical_vision	supernatural	mystical_vision	ok		10	experience:visions
practice:business_advice	practice	business_advice	ok		9	
practice:the_travels_of_the_tsaddik	practice	the_travels_of_the_tsaddik	ok		9	
spaces:hell	spaces	hell	ok		9	
social-relations:inter_hasidic_conflict_between_tsaddikim	social-relations	inter_hasidic_conflict_between_tsaddikim	ok		8	social:inter_hasidic_conflict_between_tsaddikim
times:inauguration	times	inauguration	ok		8	
characters-and-roles:agunah	characters-and-roles	agunah	ok		7	
complete	complete		no-colon		7	
practice:pidyon_nefesh	practice	pidyon_nefesh	ok		7	
practice:releasing_agunot	practice	releasing_agunot	ok		7	
social-relations:divorce	social-relations	divorce	ok		7	social:divorce
supernatural:angel_of_death	supernatural	angel_of_death	ok		7	characters-and-roles:angel_of_death
characters-and-roles:messiah	characters-and-roles	messiah	ok		6	
custom:clothing	custom	clothing	ok		6	practice:clothing
ethics-and-emotions:resisting_temptation	ethics-and-emotions	resisting_temptation	ok		6	
experience:trembling	experience	trembling	ok		6	
folkloristics:story_type_birth_of_the_tsaddik	folkloristics	story_type_birth_of_the_tsaddik	ok		6	
folkloristics:story_type_revelation	folkloristics	story_type_revelation	ok		6	
not-a-hasidic-story:virtues	not-a-hasidic-story	virtues	ok		6	
practice:writing_amulets	practice	writing_amulets	ok		6	
social-relations:excommunication	social-relations	excommunication	ok		6	social:excommunication
spaces:institutions_beth_midrash	spaces	institutions_beth_midrash	ok		6	spaces:beth_midrash
spaces:institutions_hassidic_court	spaces	institutions_hassidic_court	ok		6	
times:eschatology	times	eschatology	ok		6	
characters-and-roles:magician	characters-and-roles	magician	ok		5	
clothing	clothing		no-colon		5	
practice:failure	practice	failure	ok		5	
practice:torat_ha_tsaddik	practice	torat_ha_tsaddik	ok		5	
characters-and-roles:sabbatai_zevi	characters-and-roles	sabbatai_zevi	ok		4	
halakhah:tvilah	halakhah	tvilah	ok		4	practice:tvilah
knowledge:secret_texts	knowledge	secret_texts	ok		4	
practice:joke	practice	joke	ok		4	
practice:music	practice	music	ok		4	
spaces:rabbinical_court	spaces	rabbinical_court	ok		4	
characters-and-roles:baal_shem	characters-and-roles	baal_shem	ok		3	
characters-and-roles:witch	characters-and-roles	witch	ok		3	
knowledge:practical_kabbalah	knowledge	practical_kabbalah	ok		3	
TBD:Unknown	TBD:Unknown		tbd		2	
custom	custom		no-colon		2	
double	double		no-colon		2	
folkloristics:story_type_inauguration	folkloristics	story_type_inauguration	ok		2	
folkloristics:story_type_parable	folkloristics	story_type_parable	ok		2	
not-a-hasidic-story	not-a-hasidic-story		no-colon		2	
practice:worship_through_corporeality	practice	worship_through_corporeality	ok		2	
seclusion	seclusion		no-colon		2	
advent_story	advent_story		no-colon		1	
alien_thoughts	alien_thoughts		no-colon		1	
amulets	amulets		no-colon		1	
animals	animals		no-colon		1	
appearance:death_like	appearance	death_like	ok		1	
appearance:shaking	appearance	shaking	ok		1	
appearance_shaking	appearance_shaking		no-colon		1	
assistant:scribe	assistant	scribe	ok		1	
assistant:scribe,practice:writing_amulets	assistant:scribe,practice:writing_amulets		bad-sep		1	SPLIT:characters-and-roles:scribe+practice:writing_amulets
assistant:scribe,profession:scribe	assistant:scribe,profession:scribe		bad-sep		1	characters-and-roles:scribe
authority	authority		no-colon		1	
beverage:alcohol	beverage	alcohol	ok		1	
body:nails	body	nails	ok		1	
book:toldot_yaakov_yosef	book	toldot_yaakov_yosef	ok		1	
business:leasing	business	leasing	ok		1	
childhood	childhood		no-colon		1	
clothing:white	clothing	white	ok		1	practice:clothing
communal-position:ritual_slaughterer	communal-position	ritual_slaughterer	ok		1	characters-and-roles:ritual_slaughterer
competition_with_doctor	competition_with_doctor		no-colon		1	
concealment	concealment		no-colon		1	
confirmation	confirmation		no-colon		1	
coronation	coronation		no-colon		1	
debate	debate		no-colon		1	
divination	divination		no-colon		1	
economy:currency	economy	currency	ok		1	
esoteric-knowledge:divine_names	esoteric-knowledge	divine_names	ok		1	
esoteric-knowledge:prohibition	esoteric-knowledge	prohibition	ok		1	
ethics-and-emotions:prohibition_to_write	ethics-and-emotions	prohibition_to_write	ok		1	ethics-and-emotions:prohibitions
experience:communion_with_god	experience	communion_with_god	ok		1	experience:devekut
experience:enlightenment	experience	enlightenment	ok		1	experience:revelation
experience:mystical,appearance_shaking	experience:mystical,appearance_shaking		bad-sep		1	SPLIT:experience:mystical(DROP)+appearance:shaking
experience:mystical:gilui_eliyahu	experience	mystical:gilui_eliyahu	ok		1	experience:gilui_eliyahu
financial-support-to-the-tsaddik	financial-support-to-the-tsaddik		no-colon		1	
folkloristics:story_type_ joke	folkloristics	story_type_ joke	ok		1	
mikveh	mikveh		no-colon		1	
non_jewish_property_owner	non_jewish_property_owner		no-colon		1	
not-a-hasidic-story:halakhah	not-a-hasidic-story	halakhah	ok		1	
possession:horse	possession	horse	ok		1	
poverty	poverty		no-colon		1	
practice:asceticism_fasting	practice	asceticism_fasting	ok		1	practice:fasting
practice:clothing	practice	clothing	ok		1	
practice:conversing_with_angels	practice	conversing_with_angels	ok		1	supernatural:angels
practice:magic,besht_as_kabbalist	practice:magic,besht_as_kabbalist		bad-sep		1	
practice:magic:make_it_rain	practice	magic:make_it_rain	ok		1	
practice:prayer,experience:shaking_during_prayer	practice:prayer,experience:shaking_during_prayer		bad-sep		1	
practice:prayer:outside	practice	prayer:outside	ok		1	practice:prayer
practice:prayer:sigh	practice	prayer:sigh	ok		1	practice:prayer
practice:recitation_of_psalms	practice	recitation_of_psalms	ok		1	
practice:ritual_bathing, practice:prayer	practice:ritual_bathing, practice:prayer		bad-sep		1	
practice:ritual_slaughtering	practice	ritual_slaughtering	ok		1	
practice:spiritual	practice	spiritual	ok		1	DROP
profession:melamed	profession	melamed	ok		1	characters-and-roles:melamed
profession:scribe	profession	scribe	ok		1	characters-and-roles:scribe
profession:tavern_keeper	profession	tavern_keeper	ok		1	characters-and-roles:tavern_keeper
profession:tavern_keeping,tavern_owner	profession:tavern_keeping,tavern_owner		bad-sep		1	characters-and-roles:tavern_keeper
property:horse	property	horse	ok		1	
radiance	radiance		no-colon		1	
ritual	ritual		no-colon		1	
ritual-ablution	ritual-ablution		no-colon		1	
ritual:debate	ritual	debate	ok		1	
ritual:third_meal	ritual	third_meal	ok		1	
scriptures	scriptures		no-colon		1	knowledge:secret_texts
sefarad_custom	sefarad_custom		no-colon		1	
self_esteem	self_esteem		no-colon		1	
servant	servant		no-colon		1	
spiritual_ascension	spiritual_ascension		no-colon		1	
tsaddik_protection	tsaddik_protection		no-colon		1	
tsaddik_relations_with_criminals	tsaddik_relations_with_criminals		no-colon		1	
