full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
social:inter_hasidic_conflict_between_tsaddikim	social	inter_hasidic_conflict_between_tsaddikim	8	4	social:inter_hasidic(8); social:inter_hasidic_master_disciple_relationship(7); practice:travel_to_other_tsaddik(4); practice:tvilah(4); characters-and-roles:the_family_of_the_tsaddik(4)	Khal-Hasidim_0171; Khal-Hasidim_0186; Khal-Hasidim_0188
times:inauguration	times	inauguration	8	4	practice:study(8); supernatural:perception(6); characters-and-roles:the_family_of_the_tsaddik(6); social:inter_hasidic_master_disciple_relationship(4); ethics-and-emotions:joy(4)	Adat-Zadikim_0012; Khal-Hasidim_0001; Khal-Hasidim_0002
characters-and-roles:agunah	characters-and-roles	agunah	7	6	practice:releasing_agunot(6); supernatural:perception(5); women:catalyst_character(5); ethics-and-emotions:punishment(4); ethics-and-emotions:prohibitions(4)	Adat-Zadikim_0024; Khal-Hasidim_0210; Khal-Hasidim_0254
characters-and-roles:angel_of_death	characters-and-roles	angel_of_death	7	3	supernatural:communicating_with_the_invisible(5); supernatural:perception(3); practice:lifesaving(3); social:inter_hasidic_master_disciple_relationship(3); practice:prayer(3)	Khal-Hasidim_0011; Khal-Hasidim_0046; Mifalot-HaZadikim_0018
social:divorce	social	divorce	7	5	supernatural:perception(7); ethics-and-emotions:prohibitions(6); ethics-and-emotions:repentance(5); ethics-and-emotions:adultery(5); supernatural:magic(3)	Adat-Zadikim_0013; Khal-Hasidim_0144; Khal-Hasidim_0242
characters-and-roles:messiah	characters-and-roles	messiah	6	3	times:eschatology(6); experience:journey_to_heaven(3); ethics-and-emotions:sadness(3); supernatural:communicating_with_the_invisible(3); folkloristics:story_type_protection(2)	Adat-Zadikim_0019; Khal-Hasidim_0028; Khal-Hasidim_0153
ethics-and-emotions:resisting_temptation	ethics-and-emotions	resisting_temptation	6	4	ethics-and-emotions:prohibitions(6); ethics-and-emotions:lust(4); women:minor_character(3); practice:protection(3); practice:drinking_alcohol(2)	Khal-Hasidim_0170; Mifalot-HaZadikim_0018; Mifalot-HaZadikim_0028
experience:trembling	experience	trembling	6	3	practice:prayer(5); supernatural:communicating_with_the_invisible(4); times:holidays(3); practice:coping_with_alien_thoughts(2); supernatural:perception(2)	Khal-Hasidim_0026; Khal-Hasidim_0031; Shivhei-Habesht_0015
folkloristics:story_type_birth_of_the_tsaddik	folkloristics	story_type_birth_of_the_tsaddik	6	3	times:birth(6); characters-and-roles:the_family_of_the_tsaddik(6); supernatural:perception(6); times:shabbat(4); supernatural:prognostication(4)	Adat-Zadikim_0001; Khal-Hasidim_0001; Khal-Hasidim_0081
folkloristics:story_type_revelation	folkloristics	story_type_revelation	6	3	supernatural:miracle(6); ethics-and-emotions:prohibitions(6); practice:healing(4); supernatural:communicating_with_the_invisible(4); practice:protection(4)	Adat-Zadikim_0004; Khal-Hasidim_0009; Khal-Hasidim_0023
not-a-hasidic-story:virtues	not-a-hasidic-story	virtues	6	5	ethics-and-emotions:virtues(5); practice:study(3); social:marriage(3); experience:revelation(3); ethics-and-emotions:prohibitions(3)	Adat-Zadikim_0023; Khal-Hasidim_0228; Khal-Hasidim_0253
social:excommunication	social	excommunication	6	3	ethics-and-emotions:punishment(6); supernatural:communicating_with_the_invisible(4); social:conflict(4); practice:prayer(3); spaces:heaven(3)	Khal-Hasidim_0070; Khal-Hasidim_0137; Khal-Kdoshim_0010
spaces:beth_midrash	spaces	beth_midrash	6	3	social:inter_hasidic_master_disciple_relationship(5); practice:prayer(5); practice:tvilah(4); spaces:mikveh(4); times:death(3)	Khal-Hasidim_0064; Khal-Hasidim_0142; Mifalot-HaZadikim_0009
spaces:institutions_hassidic_court	spaces	institutions_hassidic_court	6	4	social:retrospective_recognition(3); ethics-and-emotions:prohibitions(3); social:inter_hasidic_master_disciple_relationship(3); characters-and-roles:the_family_of_the_tsaddik(3); practice:prayer(3)	Khal-Hasidim_0145; Khal-Hasidim_0169; Mifalot-HaZadikim_0009
times:eschatology	times	eschatology	6	3	characters-and-roles:messiah(6); experience:journey_to_heaven(3); ethics-and-emotions:sadness(3); supernatural:communicating_with_the_invisible(3); folkloristics:story_type_protection(2)	Adat-Zadikim_0019; Khal-Hasidim_0028; Khal-Hasidim_0153
characters-and-roles:magician	characters-and-roles	magician	5	3	supernatural:magic(5); social:competition(4); social:relations_with_non_jews(3); social:relations_with_the_authorities(3); ethics-and-emotions:repentance(2)	Adat-Zadikim_0004; Khal-Hasidim_0024; Khal-Hasidim_0077
practice:failure	practice	failure	5	2	practice:prayer(4); characters-and-roles:the_family_of_the_tsaddik(3); practice:redemption_of_captives(2); women:minor_character(2); supernatural:reincarnation(2)	Khal-Hasidim_0082; Shivhei-Habesht_0097; Shivhei-Habesht_0124
practice:torat_ha_tsaddik	practice	torat_ha_tsaddik	5	4	social:inter_hasidic_master_disciple_relationship(5); practice:travel_to_the_tsaddik(4); supernatural:perception(4); social:inter_hasidic(4); ethics-and-emotions:repentance(3)	Khal-Hasidim_0215; Mifalot-HaZadikim_0008; Mifalot-HaZadikim_0030
characters-and-roles:sabbatai_zevi	characters-and-roles	sabbatai_zevi	4	2	supernatural:communicating_with_the_invisible(4); women:mention_only(3); folkloristics:story_type_protection(2); times:historical_event(2); times:holidays(2)	Khal-Hasidim_0028; Khal-Hasidim_0035; Shivhei-Habesht_0017
knowledge:secret_texts	knowledge	secret_texts	4	2	social:marital_relationship(4); women:minor_character(4); characters-and-roles:hidden_righteous(4); characters-and-roles:the_family_of_the_tsaddik(4); practice:solitude(4)	Khal-Hasidim_0002; Khal-Hasidim_0004; Shivhei-Habesht_0002
practice:joke	practice	joke	4	2	women:mention_only(4); practice:drinking_alcohol(4); supernatural:perception(4); supernatural:prognostication(2); practice:prayer(2)	Khal-Hasidim_0053; Khal-Hasidim_0075; Shivhei-Habesht_0063
spaces:rabbinical_court	spaces	rabbinical_court	4	2	ethics-and-emotions:prohibitions(4); not-a-hasidic-story:hagiography(3); experience:dream(2); ethics-and-emotions:sadness(2); social:relations_with_non_jews(2)	Adat-Zadikim_0014; Peer-MiKdoshim_0004; Peer-MiKdoshim_0009
characters-and-roles:baal_shem	characters-and-roles	baal_shem	3	3	social:retrospective_recognition(3); knowledge:practical_kabbalah(3); knowledge:esoteric(3); experience:journey_to_heaven(2); social:disobedience(2)	Khal-Hasidim_0086; Mifalot-HaZadikim_0019; Shivhei-Habesht_0112
characters-and-roles:scribe	characters-and-roles	scribe	3	1	supernatural:magic(3); practice:use_of_holy_names(2); knowledge:esoteric(2); practice:healing(2); women:minor_character(2)	Shivhei-Habesht_0005A; Shivhei-Habesht_0005B; Shivhei-Habesht_0006
characters-and-roles:witch	characters-and-roles	witch	3	2	supernatural:magic(3); practice:protection(3); characters-and-roles:the_family_of_the_tsaddik(3); supernatural:communicating_with_the_invisible(3); characters-and-roles:demons(3)	Khal-Hasidim_0052; Shivhei-Habesht_0062; Shivhei-Habesht_0123
knowledge:practical_kabbalah	knowledge	practical_kabbalah	3	3	social:retrospective_recognition(3); knowledge:esoteric(3); characters-and-roles:baal_shem(3); experience:journey_to_heaven(2); social:disobedience(2)	Khal-Hasidim_0086; Mifalot-HaZadikim_0019; Shivhei-Habesht_0112
practice:redemption_of_captives	practice	redemption_of_captives	3	3	social:inter_hasidic_master_disciple_relationship(3); women:minor_character(2); supernatural:reincarnation(2); times:shabbat(2); practice:protection(2)	Khal-Hasidim_0082; Mifalot-HaZadikim_0022; Shivhei-Habesht_0097
characters-and-roles:tavern_keeper	characters-and-roles	tavern_keeper	2	1	social:marital_relationship(2); supernatural:magic(2); women:minor_character(2); ethics-and-emotions:punishment(2); characters-and-roles:the_family_of_the_tsaddik(2)	Shivhei-Habesht_0005B; Shivhei-Habesht_0010
folkloristics:story_type_inauguration	folkloristics	story_type_inauguration	2	2	social:marital_relationship(2); practice:pilgrimage_to_the_graves_of_tsaddikim(2); social:relations_with_the_authorities(2); supernatural:magic(2); supernatural:miracle(2)	Khal-Hasidim_0002; Shivhei-Habesht_0002
folkloristics:story_type_parable	folkloristics	story_type_parable	2	2	practice:study(2); social:relations_with_non_hasidim(2); experience:devekut(2); practice:storytelling(2); social:inter_hasidic_master_disciple_relationship(2)	Khal-Hasidim_0211; Maase-Zadikim_0008
practice:worship_through_corporeality	practice	worship_through_corporeality	2	2	kabbalah:kabbalistic_terms_yihudim(2); practice:meditation(2); women:minor_character(1); practice:tefillin(1); spaces:institutions_hassidic_court(1)	Mifalot-HaZadikim_0015; Shivhei-Habesht_0164
appearance:death_like	appearance	death_like	1	1	times:holidays(1); practice:coping_with_alien_thoughts(1); book:toldot_yaakov_yosef(1); supernatural:perception(1); practice:prayer(1)	Shivhei-Habesht_0015
appearance:shaking	appearance	shaking	1	1	times:holidays(1); practice:coping_with_alien_thoughts(1); appearance:death_like(1); book:toldot_yaakov_yosef(1); supernatural:perception(1)	Shivhei-Habesht_0015
assistant:scribe	assistant	scribe	1	1	characters-and-roles:scribe(1); experience:journey_to_heaven(1); supernatural:magic(1); characters-and-roles:ritual_slaughterer(1); practice:storytelling(1)	Shivhei-Habesht_0005A
beverage:alcohol	beverage	alcohol	1	1	women:minor_character(1); social:relations_with_the_authorities(1); practice:business_advice(1); social:disobedience(1); practice:smoking(1)	Shivhei-Habesht_0110
body:nails	body	nails	1	1	characters-and-roles:scribe(1); experience:journey_to_heaven(1); supernatural:magic(1); characters-and-roles:ritual_slaughterer(1); assistant:scribe(1)	Shivhei-Habesht_0005A
book:toldot_yaakov_yosef	book	toldot_yaakov_yosef	1	1	times:holidays(1); practice:coping_with_alien_thoughts(1); appearance:death_like(1); supernatural:perception(1); practice:prayer(1)	Shivhei-Habesht_0015
business:leasing	business	leasing	1	1	women:minor_character(1); social:relations_with_the_authorities(1); practice:business_advice(1); social:disobedience(1); practice:smoking(1)	Shivhei-Habesht_0110
characters-and-roles:melamed	characters-and-roles	melamed	1	1	social:marital_relationship(1); supernatural:magic(1); supernatural:miracle(1); practice:use_of_holy_names(1); women:minor_character(1)	Shivhei-Habesht_0005B
economy:currency	economy	currency	1	1	women:minor_character(1); social:relations_with_the_authorities(1); practice:business_advice(1); social:disobedience(1); practice:smoking(1)	Shivhei-Habesht_0110
esoteric-knowledge:divine_names	esoteric-knowledge	divine_names	1	1	social:marital_relationship(1); supernatural:magic(1); supernatural:miracle(1); characters-and-roles:melamed(1); practice:use_of_holy_names(1)	Shivhei-Habesht_0005B
esoteric-knowledge:prohibition	esoteric-knowledge	prohibition	1	1	social:marital_relationship(1); supernatural:magic(1); supernatural:miracle(1); characters-and-roles:melamed(1); practice:use_of_holy_names(1)	Shivhei-Habesht_0005B
experience:gilui_eliyahu	experience	gilui_eliyahu	1	1	social:marital_relationship(1); women:minor_character(1); supernatural:magic(1); ethics-and-emotions:punishment(1); experience:revelation(1)	Shivhei-Habesht_0010
folkloristics:story_type_ joke	folkloristics	story_type_ joke	1	1	ethics-and-emotions:fear(1); characters-and-roles:the_family_of_the_tsaddik(1); practice:failure(1)	Shivhei-Habesht_0124
not-a-hasidic-story:halakhah	not-a-hasidic-story	halakhah	1	1	supernatural:magic(1); experience:revelation(1); ethics-and-emotions:shame(1); ethics-and-emotions:virtues(1); practice:recitation_of_psalms(1)	Mifalot-HaZadikim_0006
possession:horse	possession	horse	1	1	supernatural:prognostication(1); folkloristics:story_type_prognostication(1); social:retrospective_recognition(1); property:horse(1)	Shivhei-Habesht_0011
practice:magic:make_it_rain	practice	magic:make_it_rain	1	1	social:marital_relationship(1); supernatural:magic(1); supernatural:miracle(1); characters-and-roles:melamed(1); practice:use_of_holy_names(1)	Shivhei-Habesht_0005B
practice:pidyon_haben	practice	pidyon_haben	1	1	women:mention_only(1); kabbalah:kabbalistic_terms_kavvanot(1); practice:worship_through_corporeality(1); kabbalah:kabbalistic_terms_yihudim(1); practice:meditation(1)	Shivhei-Habesht_0164
property:horse	property	horse	1	1	supernatural:prognostication(1); folkloristics:story_type_prognostication(1); social:retrospective_recognition(1); possession:horse(1)	Shivhei-Habesht_0011
ritual:debate	ritual	debate	1	1	social:marital_relationship(1); supernatural:miracle(1); experience:revelation(1); social:inter_hasidic_master_disciple_relationship(1); practice:clothing(1)	Shivhei-Habesht_0004
ritual:third_meal	ritual	third_meal	1	1	characters-and-roles:scribe(1); experience:journey_to_heaven(1); supernatural:magic(1); characters-and-roles:ritual_slaughterer(1); assistant:scribe(1)	Shivhei-Habesht_0005A
