full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
folkloristics:story_type_rapprochement	folkloristics	story_type_rapprochement	37	6	social:inter_hasidic_master_disciple_relationship(29); social:relations_with_non_hasidim(23); supernatural:perception(23); social:retrospective_recognition(21); practice:travel_to_the_tsaddik(16)	Adat-Zadikim_0017; Adat-Zadikim_0018; Khal-Hasidim_0004
experience:revelation	experience	revelation	36	6	social:inter_hasidic_master_disciple_relationship(18); supernatural:communicating_with_the_invisible(16); supernatural:perception(14); characters-and-roles:elijah_the_prophet(14); characters-and-roles:the_family_of_the_tsaddik(13)	Adat-Zadikim_0006; Adat-Zadikim_0011; Adat-Zadikim_0019
social:marital_relationship	social	marital_relationship	36	8	characters-and-roles:the_family_of_the_tsaddik(21); supernatural:perception(18); social:inter_hasidic_master_disciple_relationship(15); women:minor_character(14); practice:prayer(11)	Adat-Zadikim_0001; Khal-Hasidim_0002; Khal-Hasidim_0004
social:marriage	social	marriage	36	9	practice:study(20); supernatural:perception(19); supernatural:communicating_with_the_invisible(15); ethics-and-emotions:prohibitions(15); women:mention_only(11)	Adat-Zadikim_0004; Adat-Zadikim_0015; Adat-Zadikim_0021
women:major_character	women	major_character	36	8	supernatural:perception(14); supernatural:prognostication(13); characters-and-roles:the_family_of_the_tsaddik(13); ethics-and-emotions:repentance(10); supernatural:communicating_with_the_invisible(9)	Adat-Zadikim_0001; Adat-Zadikim_0013; Adat-Zadikim_0015
folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	35	5	supernatural:prognostication(35); women:mention_only(12); supernatural:perception(10); social:retrospective_recognition(8); social:inter_hasidic_master_disciple_relationship(7)	Adat-Zadikim_0002; Adat-Zadikim_0020; Khal-Hasidim_0011
practice:reception_of_hasidim	practice	reception_of_hasidim	34	8	social:inter_hasidic_master_disciple_relationship(30); supernatural:perception(28); practice:travel_to_the_tsaddik(28); social:inter_hasidic(17); social:relations_with_non_hasidim(15)	Adat-Zadikim_0012; Adat-Zadikim_0017; Khal-Hasidim_0105
ethics-and-emotions:humility	ethics-and-emotions	humility	33	7	social:inter_hasidic_master_disciple_relationship(15); ethics-and-emotions:pride(13); ethics-and-emotions:prohibitions(12); supernatural:perception(9); practice:study(8)	Adat-Zadikim_0012; Adat-Zadikim_0023; Khal-Hasidim_0044
characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	32	7	supernatural:perception(19); characters-and-roles:the_family_of_the_tsaddik(13); supernatural:magic(12); women:minor_character(12); social:inter_hasidic(12)	Adat-Zadikim_0013; Khal-Hasidim_0002; Khal-Hasidim_0003
characters-and-roles:demons	characters-and-roles	demons	31	6	supernatural:communicating_with_the_invisible(16); supernatural:magic(14); practice:protection(13); women:minor_character(12); women:mention_only(11)	Khal-Hasidim_0001; Khal-Hasidim_0009; Khal-Hasidim_0010
ethics-and-emotions:joy	ethics-and-emotions	joy	31	9	social:inter_hasidic_master_disciple_relationship(21); supernatural:perception(15); practice:prayer(15); ethics-and-emotions:sadness(15); characters-and-roles:the_family_of_the_tsaddik(14)	Adat-Zadikim_0001; Adat-Zadikim_0003; Adat-Zadikim_0012
supernatural:light_or_fire_as_a_sign_of_righteousness	supernatural	light_or_fire_as_a_sign_of_righteousness	31	6	social:inter_hasidic_master_disciple_relationship(17); supernatural:perception(16); women:minor_character(12); practice:study(11); characters-and-roles:the_family_of_the_tsaddik(11)	Adat-Zadikim_0018; Adat-Zadikim_0021; Khal-Hasidim_0004
practice:fasting	practice	fasting	30	7	practice:asceticism(17); supernatural:perception(13); supernatural:prognostication(12); ethics-and-emotions:prohibitions(12); women:minor_character(11)	Adat-Zadikim_0022; Khal-Hasidim_0002; Khal-Hasidim_0009
supernatural:miracle	supernatural	miracle	29	6	supernatural:magic(13); practice:prayer(11); women:minor_character(10); social:relations_with_non_jews(10); practice:protection(10)	Adat-Zadikim_0003; Adat-Zadikim_0004; Khal-Hasidim_0002
not-a-hasidic-story:hagiography	not-a-hasidic-story	hagiography	28	8	ethics-and-emotions:prohibitions(19); ethics-and-emotions:punishment(11); supernatural:perception(10); social:relations_with_non_jews(9); practice:study(9)	Adat-Zadikim_0022; Adat-Zadikim_0023; Adat-Zadikim_0024
supernatural:reincarnation	supernatural	reincarnation	28	5	ethics-and-emotions:punishment(17); supernatural:perception(16); social:inter_hasidic_master_disciple_relationship(10); ethics-and-emotions:prohibitions(9); supernatural:communicating_with_the_invisible(7)	Khal-Hasidim_0003; Khal-Hasidim_0017; Khal-Hasidim_0018
practice:lifesaving	practice	lifesaving	27	6	practice:healing(14); supernatural:magic(11); supernatural:perception(11); practice:prayer(11); social:inter_hasidic_master_disciple_relationship(10)	Adat-Zadikim_0004; Khal-Hasidim_0023; Khal-Hasidim_0024
practice:meditation	practice	meditation	27	7	kabbalah:kabbalistic_terms_yihudim(17); knowledge:esoteric(11); kabbalah:kabbalistic_terms_kavvanot(11); social:inter_hasidic_master_disciple_relationship(10); practice:study(9)	Adat-Zadikim_0019; Khal-Hasidim_0002; Khal-Hasidim_0031
practice:asceticism	practice	asceticism	26	5	practice:fasting(17); social:inter_hasidic_master_disciple_relationship(12); supernatural:perception(12); practice:study(11); knowledge:esoteric(10)	Khal-Hasidim_0002; Khal-Hasidim_0055; Khal-Hasidim_0118
characters-and-roles:angels	characters-and-roles	angels	25	4	social:inter_hasidic_master_disciple_relationship(11); practice:prayer(11); supernatural:perception(10); social:relations_with_non_hasidim(8); social:retrospective_recognition(8)	Adat-Zadikim_0006; Adat-Zadikim_0017; Adat-Zadikim_0018
ethics-and-emotions:adultery	ethics-and-emotions	adultery	25	7	supernatural:perception(22); ethics-and-emotions:prohibitions(20); ethics-and-emotions:repentance(17); women:mention_only(12); social:inter_hasidic_master_disciple_relationship(11)	Adat-Zadikim_0009; Adat-Zadikim_0013; Adat-Zadikim_0024
spaces:the_land_of_israel	spaces	the_land_of_israel	25	5	practice:prayer(11); supernatural:perception(9); characters-and-roles:the_family_of_the_tsaddik(8); ethics-and-emotions:punishment(8); social:inter_hasidic_master_disciple_relationship(8)	Adat-Zadikim_0003; Khal-Hasidim_0003; Khal-Hasidim_0012
experience:enthusiasm	experience	enthusiasm	24	6	social:inter_hasidic_master_disciple_relationship(14); practice:prayer(13); characters-and-roles:the_family_of_the_tsaddik(10); practice:travel_to_the_tsaddik(10); women:minor_character(9)	Khal-Hasidim_0013; Khal-Hasidim_0034; Khal-Hasidim_0064
practice:drinking_alcohol	practice	drinking_alcohol	24	6	supernatural:perception(13); social:relations_with_non_jews(9); practice:protection(8); women:mention_only(8); practice:prayer(7)	Khal-Hasidim_0002; Khal-Hasidim_0013; Khal-Hasidim_0053
practice:smoking	practice	smoking	24	5	social:inter_hasidic_master_disciple_relationship(18); supernatural:perception(18); times:shabbat(9); supernatural:prognostication(8); practice:sermon(8)	Adat-Zadikim_0001; Adat-Zadikim_0011; Adat-Zadikim_0012
practice:tefillin	practice	tefillin	24	4	practice:prayer(14); social:inter_hasidic_master_disciple_relationship(12); supernatural:perception(11); ethics-and-emotions:fear(8); characters-and-roles:the_family_of_the_tsaddik(8)	Khal-Hasidim_0004; Khal-Hasidim_0048; Khal-Hasidim_0049
social:disobedience	social	disobedience	24	7	supernatural:prognostication(16); ethics-and-emotions:punishment(15); supernatural:perception(9); social:retrospective_recognition(8); women:mention_only(7)	Khal-Hasidim_0086; Khal-Hasidim_0102; Khal-Hasidim_0111
times:historical_event	times	historical_event	24	5	supernatural:prognostication(15); practice:prayer(13); social:relations_with_non_jews(11); practice:protection(10); supernatural:perception(9)	Adat-Zadikim_0006; Khal-Hasidim_0028; Khal-Hasidim_0029
ethics-and-emotions:shame	ethics-and-emotions	shame	23	4	supernatural:perception(13); ethics-and-emotions:prohibitions(9); social:inter_hasidic_master_disciple_relationship(9); ethics-and-emotions:sadness(9); supernatural:communicating_with_the_invisible(8)	Adat-Zadikim_0009; Adat-Zadikim_0013; Khal-Hasidim_0045
practice:devekut	practice	devekut	23	6	experience:devekut(22); social:inter_hasidic_master_disciple_relationship(16); women:minor_character(9); characters-and-roles:the_family_of_the_tsaddik(9); supernatural:light_or_fire_as_a_sign_of_righteousness(9)	Khal-Hasidim_0004; Khal-Hasidim_0005; Khal-Hasidim_0021
practice:pidyon_nefesh	practice	pidyon_nefesh	23	7	supernatural:perception(11); supernatural:magic(9); social:relations_with_non_jews(9); ethics-and-emotions:repentance(8); practice:healing(7)	Adat-Zadikim_0004; Adat-Zadikim_0007; Adat-Zadikim_0008
spaces:mikveh	spaces	mikveh	23	3	practice:tvilah(23); supernatural:perception(14); practice:prayer(12); social:inter_hasidic_master_disciple_relationship(10); supernatural:prognostication(7)	Khal-Hasidim_0034; Khal-Hasidim_0041; Khal-Hasidim_0055
