tag	n_before	n_after_storylevel	delta
esoteric-knowledge:prohibition	1	0	-1
ethics-and-emotions:prohibition_to_write	1	0	-1
ethics-and-emotions:virtues_humility	33	0	-33
ethics-and-emotions:virtues_poverty	22	0	-22
experience:communion_with_god	1	0	-1
experience:enlightenment	1	0	-1
experience:mystical	19	0	-19
experience:mystical,appearance_shaking	1	0	-1
experience:mystical:gilui_eliyahu	1	0	-1
financial-support-to-the-tsaddik	1	0	-1
halakhah	24	0	-24
halakhah:circumcision	14	0	-14
halakhah:kosher_slaughtering	18	0	-18
halakhah:prayer	169	0	-169
halakhah:tefillin	24	0	-24
halakhah:tvilah	4	0	-4
mikveh	1	0	-1
non_jewish_property_owner	1	0	-1
possession:horse	1	0	-1
poverty	1	0	-1
practice:asceticism_fasting	1	0	-1
practice:conversing_with_angels	1	0	-1
practice:magic,besht_as_kabbalist	1	0	-1
practice:magic:make_it_rain	1	0	-1
practice:prayer,experience:shaking_during_prayer	1	0	-1
practice:prayer:outside	1	0	-1
practice:prayer:sigh	1	0	-1
practice:ritual_bathing, practice:prayer	1	0	-1
practice:spiritual	1	0	-1
profession:melamed	1	0	-1
profession:scribe	1	0	-1
profession:tavern_keeper	1	0	-1
profession:tavern_keeping,tavern_owner	1	0	-1
property:horse	1	0	-1
radiance	1	0	-1
ritual	1	0	-1
ritual-ablution	1	0	-1
ritual:debate	1	0	-1
ritual:third_meal	1	0	-1
scriptures	1	0	-1
seclusion	2	0	-2
sefarad_custom	1	0	-1
self_esteem	1	0	-1
servant	1	0	-1
social-relations:competition	16	0	-16
social-relations:conflict	81	0	-81
social-relations:converts_and_conversion	13	0	-13
social-relations:disobedience	24	0	-24
social-relations:divorce	7	0	-7
social-relations:excommunication	6	0	-6
social-relations:inter_hasidic	65	0	-65
social-relations:inter_hasidic_conflict_between_tsaddikim	8	0	-8
social-relations:inter_hasidic_inheritance_of_leadership	17	0	-17
social-relations:inter_hasidic_master_disciple_relationship	213	0	-213
social-relations:marital_relationship	36	0	-36
social-relations:marriage	21	0	-21
social-relations:marriage_matchmaking	31	0	-31
social-relations:retrospective_recognition	69	0	-69
social-relations:with_non_hasidim	89	0	-89
social-relations:with_non_jews	96	0	-96
social-relations:with_non_jews_hostility_against_jews	37	0	-37
social-relations:with_sinners	12	0	-12
social-relations:with_the_authorities	62	0	-62
spaces:institutions_beth_midrash	6	0	-6
spiritual_ascension	1	0	-1
supernatural:angel_of_death	7	0	-7
supernatural:angels	25	0	-25
supernatural:conversing_with_the_dead	70	0	-70
supernatural:demons	31	0	-31
supernatural:mystical_vision	10	0	-10
tsaddik_protection	1	0	-1
tsaddik_relations_with_criminals	1	0	-1
