tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
spaces:heaven	semantic	39	7	60	13	0	10	1	0.10		
spaces:the_land_of_israel	semantic	25	5	60	4	0	10	0	0.00		
spaces:mikveh	semantic	23	3	60	10	0	10	0	0.00		
spaces:hell	semantic	9	2	1	0	0	10	0	0.00		
spaces:institutions_hassidic_court	semantic	6	4	1	1	0	10	3	0.30		
spaces:beth_midrash	semantic	6	3	1	0	0	10	2	0.20		
spaces:rabbinical_court	semantic	4	2	1	0	0	10	0	0.00		
