name,source_edition,occurrences,editions,place_ref,context,_match_status,_match_method,_confidence,_person_id,_person_name_he,_person_name_en,_candidates
אברהם,Buzina_Denehora20251129,205,"Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,Smichat-Moshe_2025-08-26,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"פ״א נתארח בק""ק ראשקיב בימי החורף ועדיין לא קידש את
					הלבנה. מחמת שלא האירה הלבנה עד זו הלילה. ואף בזו
					הלילה לא האירה הלבנה. ומאוד הי׳ בזו הלילה ענן גדול. ושלג
					ירד עד למאוד. והוא הכין א״ע ",name_exact,name_exact,0.95,Tsadik_012.193,אברהם,Avraham,Tsadik_012.193(0.95)|Biblical_Abraham(0.95)
אליהו,Adat-Zadikim2024-09-25b,195,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-Pliot2026-01-10,Maasiot-Pliot2026-01-10_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,PeerMikdoshim2024-10-13,PeerMikdoshim2024-10-13_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,SipureiAnsheiShem2025-12-01_gemini,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,Smichat-Moshe_2025-08-26,Smichat-Moshe_2025-08-26_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"מעשה שבקשו תלמידי הבעש״ט מאוד את
                        הבעש״ט שיראה להם את
                        אליהו ז""ל. ובקשו אותו כמה פעמים והי' מבטיח להם שיראה
                    להם. פעם אחת הלך הבעש״ט עם",name_exact,name_exact,0.95,Biblical_Elijah,אליהו הנביא,Elijah,Biblical_Elijah(0.95)
יצחק,Buzina_Denehora20251129,165,"Buzina_Denehora20251129,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Khal-Kdoshim2025-06-22_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,PeerMikdoshim2024-10-13_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurim-Nehmadim20251129_corrected,Smichat-Moshe_2025-08-26,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"עט""ר הה""ק ר׳ ישראל שליט״א יקח ג""כ ספר אחר כשיצא מהדפוס
					עט״ר הה״ק הר׳ יצחק שליט״א יקח אי״ה ספר אחד כשיצא לאור במחיר
					אשר ישית עליו המביא לבית הדפוס ובאתי עה״ח ישראל בפקודת קדשו
					עט״ר תנא ד",name_exact,name_exact,0.95,Biblical_Isaac,יצחק אבינו,Isaac,Biblical_Isaac(0.95)
מרדכי,Adat-Zadikim2024-09-25b_corrected,159,"Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Khal-Kdoshim2025-06-22_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,SipureiAnsheiShem2025-12-01_gemini,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,Smichat-Moshe_2025-08-26,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"ויהי אחרי הדברים האלה עשה הרה״מ שידוך
                    עם היתומה בת הרר""א הנ""ל עם הרה״ק ר׳ מנחם נחום
                            מ ז""ל עבור
                    בנו הרה״ק ר' טשארנאבילמרדכי מ ז""ל והי",name_exact,name_exact,0.95,Tsadik_012.301,מרדכי,Mordekhai,Tsadik_012.301(0.95)
פנחס,Buzina_Denehora20251129,144,"Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,Sefer-Moraim-Gdolim2025-11-28,Sefer-Moraim-Gdolim2025-11-28_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"תהלים קז
					ויצעקו אל ד' בצר להם. והקשה. מה הי׳ כוונת דהמע""ה
					שעשה מזמור מזה. הא בגמרא איתא סתם
					ארבעה צריכים להודות וכל אחד כשאירע לו איזה נס יזמר
					להקב""ה כמו שירצה. ותירץ. דזה ידוע. מא",name_exact,name_exact,0.95,Tsadik_017.002,מ׳ פנחס הלוי איש הורוויץ,Pinhas Horowitz,Tsadik_017.002(0.95)
מאיר,Khal-Hasidim2024-9-25,141,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,PeerMikdoshim2024-10-13,PeerMikdoshim2024-10-13_corrected,Shemen-Hatov2025-12-01_gemini,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,Smichat-Moshe_2025-08-26,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"גם שמעתי מר' מאיר הנ""ל שהיה באותו העיר אומן הנקרא שופאוואל
                    והיה מתפלל בקיץ ובחורף בבה""כ בקביעות
                        בקבועות אפי' לא היה עשרה בבה""כ היה מתפלל ביחידות פ״א ראה
   ",no_match,no_match,0.0,,,,
׳,Buzina_Denehora20251129,131,"Buzina_Denehora20251129,Maasiot-Pliot2026-01-10,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,Sefer-Moraim-Gdolim2025-11-28,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurim-Nehmadim20251129,Smichat-Moshe_2025-08-26,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"אמר המביא להבי״ד הן זה רבות בשנים עברו. מאז בא לידי
					מתנה טובה מרגניתא טבא אור הגנוז אשר עדיין לא הי'
					נעולמיםלעולמים. המה כתבי קודש. לקוטים יקרים מפנינים שיצאו מפי
					קודש הקדשים. נשיא אלקי",no_match,empty_input,0.0,,,,
נחום,Adat-Zadikim2024-09-25b,129,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Dvarim-Yekarim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivhei-Harav2024-10-29_corrected,Sipurei-Zadikim2025-06-22_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"אשר נתקשר בשידוכין עם הרה״ק ר' מנחם הנ""ל ואמר אז כי יקר
                    אצלו מאוד צאצאי הקדוש ר' אהרן מחמת כי
                    הי' אז בעת קישורי התנאים שאמר הרר""מ שראה אותם בלבושים הנ""ל
       ",no_match,no_match,0.0,,,,
בעריש,Maasiot-veSihot-Zadikim2026-01-10,120,"Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,Shemen-Hatov2025-12-01_gemini,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Smichat-Moshe_2025-08-26",,"הרב הצדיק הגאון הקדוש מוה׳ צבי מזידיטשוב זל""הה קודם שנתפרסם
					בעולם היה עני מאוד וביקש מהשי״ת על פרנסה ופעם אחת קם בחצית
					לילה לעבודת השם כמנהגו וראה אור גדול בביתו והיה מדמה לו ששורף
					איזה",no_match,no_match,0.0,,,,
יוסף,Buzina_Denehora20251129,109,"Buzina_Denehora20251129,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Smichat-Moshe_2025-08-26,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"חולין ו׳ ע״א
					פנחס בן יאיר הוי קאזיל לפדיון שבויים. פגע בי׳ בגינאי
					נהרא. אמר לי׳. גינאי חלוק לי מימך. ואעבור
					בך. חלק לי'. הוה האי גברא דהוי דארי חיטי לפיסחא אמר לי'
					חלוק למי להאי וכ",name_exact,name_exact,0.95,Biblical_Joseph,יוסף הצדיק,Joseph,Biblical_Joseph(0.95)|Biblical_Joseph(0.95)
