name,source_edition,occurrences,editions,place_ref,context,_match_status,_match_method,_confidence,_person_id,_person_name_he,_person_name_en,_candidates
הצדיק מלובלין החוזה מפולין,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_56,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",phonetic,phonetic+trigram,0.588,Tsadik_041.001,החוזה מפולין,Ya'akov Yitzhak Horowitz,Tsadik_041.001(0.59)
"הרה""ק ממעזיבוז",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_55,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",phonetic,phonetic+trigram,0.692,Tsadik_001.015,ברוך ממעזביז,Barukh,Tsadik_001.015(0.69)
"בת הרה""ק",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",no_match,no_match,0.0,,,,
בתו של הרב,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",no_match,no_match,0.0,,,,
הרב הקדוש ממעזיביז,Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_55,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",name_exact,name_exact,0.95,Tsadik_001.015,ברוך ממעזביז,Barukh,Tsadik_001.015(0.95)|Tsadik_001.015(0.95)|Tsadik_001.015(0.95)
הצדיק מזידיטשוב,Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_92,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",name_exact,name_exact,0.95,Tsadik_058.002,הצדיק מזידיטשוב,Tsvi Hirsh Eichenstein,Tsadik_058.002(0.95)
הצדיק וקדוש מזידיטשוב,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_92,"סיפר הרב הצדיק איש אלקים מהר״צ מזידיטשוב ז""ל. מהתגלגלות הסבות מאדון הסבות איך
                    שבא למעזיביז וראה גודל קדושת הרב הקדוש
                    הנ""ל. הרב הצדיק מהר""צ הי' מסתופף בצל הקודש ",phonetic,phonetic+trigram,0.538,Tsadik_058.002,הצדיק מזידיטשוב,Tsvi Hirsh Eichenstein,Tsadik_058.002(0.54)
מאיר מילקעס,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"בימי המוכיח הקדוש מק""ק פולנאי היה בעיר
                        בעי מסור א׳ שציער מאד את אנשי עירו במסירות. פ״א חלה וצוה המוכיח ז""ל להשמשים מחברה להודיע לו זמן לויה
                    שלו והודיעו לו ו",no_match,no_match,0.0,,,,
אשר מסטאלין,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",H-LOC_654,"איש הי' בארץ רוסי' הלבינה בעיר
                        לאזנע ושמו ר' ברוך ויולד האיש
                    לעת זקנתו שני בנים ויקרא שם האחד שניאור
                        זלמן ושם השני קרא יהודה ליב וכא",name_exact,name_exact,0.95,Tsadik_016.003,אשר מסטאלין,Asher Perlov,Tsadik_016.003(0.95)
"הרש""ז",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"איש הי' בארץ רוסי' הלבינה בעיר
                        לאזנע ושמו ר' ברוך ויולד האיש
                    לעת זקנתו שני בנים ויקרא שם האחד שניאור
                        זלמן ושם השני קרא יהודה ליב וכא",no_match,no_match,0.0,,,,
החסיד,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",,"איש הי' בארץ רוסי' הלבינה בעיר
                        לאזנע ושמו ר' ברוך ויולד האיש
                    לעת זקנתו שני בנים ויקרא שם האחד שניאור
                        זלמן ושם השני קרא יהודה ליב וכא",no_match,empty_input,0.0,,,,
קייסר פאוויל,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",,"ויהי במשך איזה שנים אחרי׳ היה מוכרח הרב ז""ל להיות בפ""ב
                    מאיז עסק השייך לכלל והקיסר פאוויל לא ידע מביאתו
                        לפ""ב ויהי שם הרב איזה ימים אחדים בתוך כך נתהוה סיבה
 ",no_match,no_match,0.0,,,,
"הקייסר
                        אלכסנדר",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,,"ויהי במשך איזה שנים אחרי׳ היה מוכרח הרב ז""ל להיות בפ""ב
                    מאיז עסק השייך לכלל והקיסר פאוויל לא ידע מביאתו
                        לפ""ב ויהי שם הרב איזה ימים אחדים בתוך כך נתהוה סיבה
 ",no_match,no_match,0.0,,,,
הקייסר אלכסנדר,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",,"ויהי במשך איזה שנים אחרי׳ היה מוכרח הרב ז""ל להיות בפ""ב
                    מאיז עסק השייך לכלל והקיסר פאוויל לא ידע מביאתו
                        לפ""ב ויהי שם הרב איזה ימים אחדים בתוך כך נתהוה סיבה
 ",no_match,no_match,0.0,,,,
"אביגדוד
                            אביגדור",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"אולם סופם של המוסרים הנ""ל ראו הכל בעינא פקיחא. אפ׳ צד המנגדים הודו כי המשלם גמול
                    שילם להם פרותיהם בעוה""ז כי האיש מוויטעפסק אשר היה מקודם
                    גביר גדול ומופלג בתורה ",no_match,no_match,0.0,,,,
יהושע צייטלעס משקלאב,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",H-LOC_106,"מובן ממילא לכל בן דיעה המכיר את תכונת אנשי רייסין וליטא אשר לא ככל
                    המדינות פולין
                        וואלין ושארי מדינות אשר הורגלו שם מעת זרח אור
                        הבעש״",no_match,no_match,0.0,,,,
סנדר,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"פעם אחת בא ר' סנדר מתלמידי הגאון מווילנא על אסיפה
                        למאהליב דרוסי' וישלח לצוות להרב שישלח גם הוא אחד
                    מאנשים כי כמה פעמים הרעיש ר' סענדר הנ""ל האסיפות ובוויכוחי",no_match,no_match,0.0,,,,
"האב""ד דק""ק חמעלניק",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Shivhei-Harav2024-10-29",,"ויהי כאשר הניח ה׳ לו מכל המציקים מבית ומחוץ ועבר מלין כל מה שדברו עד כה מישראלים
                    ומאינם ישראלים ביקש הצדיק הזה לישב בשלוה ללמד דעת את העם ולנחותם בדרך
                        בהרך ",no_match,no_match,0.0,,,,
ווייטיל,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"והנה מדי עבר הרב לטולטשין נזקק לבקשת אשה
                    אחת לשלם לה טובה תחת טובה כי בעת אשר ישב הרב במאסר
                        בפעטערסבורג פעם הראשון היתה שמה אשה אחת שמה
                    ",no_match,no_match,0.0,,,,
אהרן הלו הורוויץ,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"ויהי אחרי פטירת רבינו הקדוש מלאו מקומו הני תרי צנתרי דדהבא ה״ה הרב הקדוש האלקי
                    מו״ה אהרן הלו הורוויץ נצר מגזע הרב הקדוש ר׳ישעיה
                        בעה״מ ספר השל״ה הקדוש והשני ",no_match,no_match,0.0,,,,
מוה״ר״א,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"ויהי אחרי פטירת רבינו הקדוש מלאו מקומו הני תרי צנתרי דדהבא ה״ה הרב הקדוש האלקי
                    מו״ה אהרן הלו הורוויץ נצר מגזע הרב הקדוש ר׳ישעיה
                        בעה״מ ספר השל״ה הקדוש והשני ",no_match,no_match,0.0,,,,
"ישראל
                        יוסף",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,,והנה להציע לפני הקורא את כל הנעש׳ אחר פטירת רבינו הקדוש ברייסין ופרשת גדולת אהרן מהחל עד כלה תקצר היריע' . וע״כ אמרתי להבליג מעט על תאוותי ועוד חזון למועד ורק דבר אחד מהנוראו' הגדולי׳ בחרתי להציג לפני,no_match,no_match,0.0,,,,
הצדיק בוצינא קדישא מריזין,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_26,"מפורסם לכל קדושת ארי׳ דבי עילאה הק' האלקי ר' ליבוש משפאלע הנקרא בפי כל
                    שפאלער זיידע וסבת הקריאה בשם הזה זיידע היה כי במן בואו לשפאלע היה עיר ההוא מלאה מחוטאי ישראל כלם היו
        ",no_match,no_match,0.0,,,,
הקדוש מקאריץ,Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_149,"מפורסם לכל קדושת ארי׳ דבי עילאה הק' האלקי ר' ליבוש משפאלע הנקרא בפי כל
                    שפאלער זיידע וסבת הקריאה בשם הזה זיידע היה כי במן בואו לשפאלע היה עיר ההוא מלאה מחוטאי ישראל כלם היו
        ",no_match,no_match,0.0,,,,
הרב מנישחיז,Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_198,"ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים
                    המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ
                            מזאסלאב אשר גם המה
                    הלכו אז בגולה",name_exact,name_exact,0.95,Tsadik_036.001,מרדכי בן דב,Mordekhai Shapira,Tsadik_036.001(0.95)
"הרר""ל",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים
                    המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ
                            מזאסלאב אשר גם המה
                    הלכו אז בגולה",no_match,no_match,0.0,,,,
הסבא מספאלא,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",H-LOC_61,"ועתה נציע לפני הקורא מעשה אחת ממופתיו הרבים כאשר יעדנו בהתחלת דיבורנו זה : הנה
                    בעיר אחת מעיירות הסמוכות לספאלע היתה עגונה אחת אשר עזבה
                    אותה בעל נעוריה וחמש עשרה",name_exact,name_exact,0.95,Tsadik_012.154,הסבא מספאלא,Yehuda Leib,Tsadik_012.154(0.95)
מענדילע פריסטקר,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"הרב הקדוש בעל נועם
                            אלימלך צוה לתלמידו עת שאלוהו מי יהיה להם לרב ומורה
                    ויאמר להם ליסע לסדילקאב לנכד
                        הבעש״ט ז""ל בעל דגל מחנה אפרים",name_exact,name_exact,0.95,Tsadik_084.001,"הרר""מ",Menahem Mendel Turm,Tsadik_084.001(0.95)
"הרה""ק מליזענסק",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_350,"אמר הרב הקדוש מו""ה אלימלך ז""ל האונאה
                    בעבודה סכנה גדולה מאוד. ומעשה שהיה בהרב הצדיק קדוש עליון מהר""י
                            מלובלין שנסע
                        לליזענסק להקדוש",name_exact,name_exact,0.95,Tsadik_019.001,אלימלך,Elimelekh Weisblum,Tsadik_019.001(0.95)
ישראל פאליצקער,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"עתה נציע לפני הקורא התגלות הרב הגאון הקדוש האלקי ר׳
                        ישראל פאליצקער שהיה צדיק גדול מגדולי תלמידיו של
                        המגיד הגדול ממעזריטש ז""ל
                    :",phonetic,phonetic+trigram,0.467,Tsadik_012.168,ישראל מפלאצק,Israel,Tsadik_012.168(0.47)
אברהם קאליסקער,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"בעיר פאלעצק במדינת רייסן היה איש
                    אחד מהמוני עם הפשוטים אשר התפרנס ממלאכתו ממלאכת החייטים והיה עוסק במלאכתו באמונה
                    לא ויתר שום דבר משום אדם ועסק במצות ה׳ בכל יכו",no_match,no_match,0.0,,,,
חייקול המדורער,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"ואחרי אשר נסע ממעזריטש הרב ר׳ ישראל
                    נתפרד מהרב ר׳ עזריאל ואז נסע הרר""ע עם ר' ליב שרהס הנ""ל והוא נסע לביתו ואח״כ התפשט
                    בבגדי עני והלך בגולה שנה תמימה. וקרה פעם א",no_match,no_match,0.0,,,,
בער המגיד,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"הרב הגאון האלקי ר׳ לוי יצחק טרם נתקבל לאב""ד בקהילות גדולות
                    וטרם יצא טבעו ושמו הקדוש בעולם לאות ולמופת בישראל בהיותו
                        בהיותי עוד צעיר לימים הי׳ אב""ד בעיר ריטש",no_match,no_match,0.0,,,,
מילך,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"הרב הגאון האלקי ר׳ לוי יצחק טרם נתקבל לאב""ד בקהילות גדולות
                    וטרם יצא טבעו ושמו הקדוש בעולם לאות ולמופת בישראל בהיותו
                        בהיותי עוד צעיר לימים הי׳ אב""ד בעיר ריטש",no_match,no_match,0.0,,,,
המה״ג,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"הרב הגאון האלקי ר׳ לוי יצחק טרם נתקבל לאב""ד בקהילות גדולות
                    וטרם יצא טבעו ושמו הקדוש בעולם לאות ולמופת בישראל בהיותו
                        בהיותי עוד צעיר לימים הי׳ אב""ד בעיר ריטש",phonetic,phonetic+trigram,0.667,Tsadik_002.001,בער המגיד הגדול ממעזריטש,Dov Ber,Tsadik_002.001(0.67)
"משה
                        ליב",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,,"הידועה
                        הידיעה ומפורסמת לאנשי סגולה בעוד טרם נתגלה צדקתו וקדושתו הצדיק ר' משה ליב זי""ע היה תלמיד מובהק להרב הגאון האמיתי הקדוש המקובל האלקי מו""ה
                        שמעלקא מ",name_exact,name_exact,0.95,Tsadik_037.001,משה יהודה ליב בן יעקב,Moshe Yehuda Erblich,Tsadik_037.001(0.95)
"פייוויש
                        מבאלשוועץ",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפור נפלא מהרב הקדוש איש האלהים הנ""ל סיפרה הרב הצדיק מוהר""ר פייוויש
                        מבאלשוועץ ז""ל וכה היו דבריו. אנכי שמשתי כל צרכי את מורי ורבי
                    הקדוש מוהר""ר אלימלך ז""ל בע",no_match,no_match,0.0,,,,
"צבי
                        מזידישטוב",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפור נפלא מהרב הקדוש איש האלהים הנ""ל סיפרה הרב הצדיק מוהר""ר פייוויש
                        מבאלשוועץ ז""ל וכה היו דבריו. אנכי שמשתי כל צרכי את מורי ורבי
                    הקדוש מוהר""ר אלימלך ז""ל בע",no_match,no_match,0.0,,,,
מהרי״צ,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפור נפלא מהרב הקדוש איש האלהים הנ""ל סיפרה הרב הצדיק מוהר""ר פייוויש
                        מבאלשוועץ ז""ל וכה היו דבריו. אנכי שמשתי כל צרכי את מורי ורבי
                    הקדוש מוהר""ר אלימלך ז""ל בע",no_match,no_match,0.0,,,,
מהרמ״ל,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפור נפלא מהרב הקדוש איש האלהים הנ""ל סיפרה הרב הצדיק מוהר""ר פייוויש
                        מבאלשוועץ ז""ל וכה היו דבריו. אנכי שמשתי כל צרכי את מורי ורבי
                    הקדוש מוהר""ר אלימלך ז""ל בע",no_match,no_match,0.0,,,,
מהרמ״פ,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"סיפור נפלא מהרב הקדוש איש האלהים הנ""ל סיפרה הרב הצדיק מוהר""ר פייוויש
                        מבאלשוועץ ז""ל וכה היו דבריו. אנכי שמשתי כל צרכי את מורי ורבי
                    הקדוש מוהר""ר אלימלך ז""ל בע",no_match,no_match,0.0,,,,
חיים וויינשנקער,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"שמה בסאסוב העיר הי׳ איש אחד ושמו ר'
                        חיים וויינשנקער סוחר יין ולו בן תלמיד חכם גדול והאיש
                    זקן בא בימים והלך בדרך כל הארץ ואת אשתו ובניו הניח לאנחות כי נשארו ",no_match,no_match,0.0,,,,
"יעקב
                        יצחק",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,,"מעשה נוראה בימי הצדיקים הקדושים ה""ה הרב המגיד
                        הקדוש מקאזניץ והרב הקדוש
                    ר׳ יעקב יצחק הלוי מלובלין ז""ל זי""ע : מעשה שהיה איש אחד ממקורביו של
                  ",phonetic,phonetic+trigram,0.5,tempH-116,יעקב יצחק בן אשר,,tempH-116(0.50)|Tsadik_041.001(0.47)|Tsadik_008.001(0.40)|Tsadik_012.020(0.40)
"האלהי ז""ל מסטרעליסק",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_209,"נודע לכל שלומי חסידי ישראל קדושת האלהי ז""ל מסטרעליסק כי באמת היה כמלאך אלהים כאחד השרפים
                    וממש לא היה בן אדם רק שרף כי תמיד היה בוער כאש לשמו ית׳ ויתעלה. והאמת היה לו
              ",phonetic,phonetic+trigram,0.562,Tsadik_057.001,אורי,Uri Klughaupt,Tsadik_057.001(0.56)
הקדוש מנישחיז,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_198,"נודע לכל שלומי חסידי ישראל קדושת האלהי ז""ל מסטרעליסק כי באמת היה כמלאך אלהים כאחד השרפים
                    וממש לא היה בן אדם רק שרף כי תמיד היה בוער כאש לשמו ית׳ ויתעלה. והאמת היה לו
              ",name_exact,name_exact,0.95,Tsadik_036.001,מרדכי בן דב,Mordekhai Shapira,Tsadik_036.001(0.95)
"הרה""ק מסטרעליסק",Khal-Hasidim2024-9-25,2,Khal-Hasidim2024-9-25,H-LOC_209,"נודע לכל שלומי חסידי ישראל קדושת האלהי ז""ל מסטרעליסק כי באמת היה כמלאך אלהים כאחד השרפים
                    וממש לא היה בן אדם רק שרף כי תמיד היה בוער כאש לשמו ית׳ ויתעלה. והאמת היה לו
              ",name_exact,name_exact,0.95,Tsadik_057.001,אורי,Uri Klughaupt,Tsadik_057.001(0.95)
הצדיק מפרעמישלאן,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,maase-zadikim2025-06-22",H-LOC_39,"להרב הצדיק מפרעמישלאן בא פעם אדם אחד
                    ויהי כאשר הבין בפניו וירא בו
                        בי אותיות עבירה שהיה משתדל עם שאר רעהו ר""ל. והנה לקרב אותו לתשובה שיכל הרב הצדיק מאוד את פ",no_match,no_match,0.0,,,,
גדלי',Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,": פ""א בא שליח מכפר הסמך לזעלחאב להרב
                        ר""ג הנזכר שיבוא לשם למול תינוק אחד ולהכניסו בבריתו של
                    א""א כי הר׳ גדלי' הי' מוהל ועת מלחמה הי' אז והי׳ מתירא כל
        ",no_match,no_match,0.0,,,,
"מהרש""א",Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"בעיר הנ""ל היו שני אנשים שותפים והי' מסחרם מלייוינט פשוט וכדומה. והיו אוהבים זל""ז
                    כל ימיהם פעם אחד ששמעו כי אצל דוכסה אחת נמצאו סחורות בזול כי היא קבלה ירושה אלף
                   ",no_match,no_match,0.0,,,,
אלי' הנביא,Khal-Hasidim2024-9-25,2,"Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected",,"עתה נספר את אשר העיד אלי' הנביא ז""ל על רבינו
                        משה ומזה המעשה אשר נספר נקח מוסר לדעת איך צריך האדם
                    להחזיק עצמו בשפלות. והמעשה שהיתה כך היתה רבינו הנ""ל היה לו ",phonetic,phonetic+trigram,0.455,Biblical_Elijah,אליהו הנביא,Elijah,Biblical_Elijah(0.45)
וואלף קוצעס,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shivei-Habesht2024-12-15_corrected",,"שמעתי מהרב מהור״ר פאלק החסיד המפורסים דק""ק
                             ששמע מהר' טיעשילנקאברהם
                        אב""ד דק""ק  שהיה מקדם ש״ץ בבית המדרש
                    דק""ק דובאסרמעזיבוז פ״א ה",no_match,no_match,0.0,,,,
"הרד""פ",Khal-Hasidim2024-9-25_corrected,2,Khal-Hasidim2024-9-25_corrected,,"הרב ר' דוד פירקוס ז""ל היה תלמיד מובהק להבעש״ט זי""ע ובהגיע בתו הבתולה לעת דודים
                    ציוה הרב ר' דוד פירקוס ז""ל על פי
                    פקודת רבו הבעש""ט זי""ע לאנשים מיוחדים מחסידים הסר",no_match,no_match,0.0,,,,
בעל שם טוב,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Sefer-Moraim-Gdolim2025-11-28_corrected",,"מעשה נוראה מהרב הקדוש האלקי מו""ה גרשון
                        קיטעוור ז""ל גיסו של רבינו הבעש״ט נ""ע : פעם אחת הי' הבעש״ט ז""ל בדאגה גדולה עד מאוד. וקראו לגיסו הרה""ק מו""ה גרשון ז""ל ואמר לו תדע גיסי כי כ",name_exact,name_exact,0.95,Tsadik_001.001,ישראל בעל שם טוב,Israel Besht,Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)
מוהר״ם,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shemen-Hatov2025-12-01_gemini",,"מעשה כשנתקבל הרב המגיד הגדול למ""מ בק""ק
                        חוסטוב והסרסור הי׳ הרב הקדוש ר' מנחם נחום
                        מק'  ושמעתי מר׳ טשעראנביליואל
                            מ שהיה חוגג ח",no_match,no_match,0.0,,,,
פייוול,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shivei-Habesht2024-12-15_corrected",,"שמעתי מהרה""ק ר׳ נחום ששמע מפי כלת הרב המ""מ הגדול
                        אשת הר׳ אברהם הנ""ל כשנתאלמן בנו הק' מ׳ אברהם
                    זצ״ל קרא לשני חשובי העיר ואמר בקשתי שתסעו לק""ק קרעמניץ
       ",no_match,no_match,0.0,,,,
הדוכס,Khal-Hasidim2024-9-25_corrected,2,Khal-Hasidim2024-9-25_corrected,,"שמעתי מזקן אחד מבוניטש אשר היה בצוותא עם
                    רבי ליב שרהס בווין הבירה והנני
                    להציעה לפני הקורא באריכות : הנה עיר קטנה סמוכה למאהליב
                        דרוסיא הל",no_match,no_match,0.0,,,,
פלאצקליב,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Sipurei-Zadikim2025-06-22_corrected",,"ואחר כך לעת זקנתו קבל את הרב הגדול ר׳ עזריאל לו לגבאי ולר׳
                        עזריאל הזה הרכינו ראשם כל הצדיקי׳ גדולים שיברך אותם
                    והוא היה תלמיד חבר להרב הגאון ר' ישראל
      ",no_match,no_match,0.0,,,,
נקולי,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shivhei-Harav2024-10-29_corrected",,"עתה נסיים הסיפור מישועת החודש הזה כי עד כה עזרנו השי""ת לסיים הסיפור מיום י״ט וכ""ט
                    בו ועתה נחזור לראשו לספר מר""ח כסליו ויו""ד בו אשר בשני הימים האלו נפדו הרבנים
                    ה",no_match,no_match,0.0,,,,
יהושע צייטלעס,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shivhei-Harav2024-10-29_corrected",,"מובן ממילא לכל בן דיעה המכיר את תכונת אנשי רייסין וליטא אשר לא ככל
                    המדינות פולין
                        וואלין ושארי מדינות אשר הורגלו שם מעת זרח אור
                        הבעש״",no_match,no_match,0.0,,,,
ליבוש,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shemen-Hatov2025-12-01_gemini",,"מפורסם לכל קדושת ארי׳ דבי עילאה הק' האלקי ר' ליבוש מ הנקרא בפי כל
                    שפאלער זיידע וסבת הקריאה בשם הזה זיידע היה כי במן בואו לשפאלעשפאלע היה עיר ההוא מלאה מחוטאי ישראל כלם היו
        ",no_match,no_match,0.0,,,,
הזקנה,Khal-Hasidim2024-9-25_corrected,2,Khal-Hasidim2024-9-25_corrected,,"ועתה נציע לפני הקורא מעשה אחת ממופתיו הרבים כאשר יעדנו בהתחלת דיבורנו זה : הנה
                    בעיר אחת מעיירות הסמוכות לספאלע היתה עגונה אחת אשר עזבה
                    אותה בעל נעוריה וחמש עשרה",no_match,no_match,0.0,,,,
רמ״ל,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,Shemen-Hatov2025-12-01_gemini",,"ויהי כאשר בא הצדיק לסאסוב וישמע כי בא אגרת
                        מבארדיטשוב כי הרה""ק
                            מ חלה מאוד
                    וכי בארדיטשובהרה""ק מ ישא
                    תפלה בעדו",no_match,no_match,0.0,,,,
שלמה לוצקר,Khal-Hasidim2024-9-25_corrected,2,"Khal-Hasidim2024-9-25_corrected,maase-zadikim2025-06-22_corrected",,"סיפר הרב הקדוש רשכב""ה מו""ה שלום מ ז""ל. הנה נובעלזדע שהוא שימש כל צרכו את הרה""ק מוהר""ר
                        שלמה לוצקר  וגם שימש את הרב ז""ל בעמה""ח ספר
                            דברת שלמההקדוש מ
  ",no_match,no_match,0.0,,,,
